reference,name,link,path,type,start_year,end_year,start_len,end_len,start_out_of_bounds,end_out_of_bounds,interval_inverted
51406,ARTHURUS Fillon,/individus/51406-arthurusfillon,identity.datesOfActivity[].meta,INTERVAL,1488.0,1526.0,4.0,4.0,0,0,0
51406,ARTHURUS Fillon,/individus/51406-arthurusfillon,identity.activityMediane[].meta,SIMPLE,,,,,0,0,0
51406,ARTHURUS Fillon,/individus/51406-arthurusfillon,relationalInsertion.familyNetwork[].meta,SIMPLE,,,,,0,0,0
51406,ARTHURUS Fillon,/individus/51406-arthurusfillon,curriculum.university[].meta,INTERVAL,1488.0,1526.0,4.0,4.0,0,0,0
51406,ARTHURUS Fillon,/individus/51406-arthurusfillon,curriculum.grades[].meta,SIMPLE,,,,,0,0,0
51406,ARTHURUS Fillon,/individus/51406-arthurusfillon,curriculum.grades[].meta,SIMPLE,,,,,0,0,0
51406,ARTHURUS Fillon,/individus/51406-arthurusfillon,ecclesiasticalCareer.secularPosition[].meta,SIMPLE,,,,,0,0,0
51406,ARTHURUS Fillon,/individus/51406-arthurusfillon,ecclesiasticalCareer.secularPosition[].meta,SIMPLE,,,,,0,0,0
51406,ARTHURUS Fillon,/individus/51406-arthurusfillon,ecclesiasticalCareer.secularPosition[].meta,INTERVAL,1522.0,1526.0,4.0,4.0,0,0,0
51406,ARTHURUS Fillon,/individus/51406-arthurusfillon,professionalCareer.universityFunction[].meta,SIMPLE,,,,,0,0,0
51406,ARTHURUS Fillon,/individus/51406-arthurusfillon,professionalCareer.representation[].meta,SIMPLE,,,,,0,0,0
51406,ARTHURUS Fillon,/individus/51406-arthurusfillon,textualProduction.religion.opus[].dateAndPlace[].meta,SIMPLE,,,,,0,0,0
51406,ARTHURUS Fillon,/individus/51406-arthurusfillon,textualProduction.religion.opus[].editionBefore1700[].meta,SIMPLE,,,,,0,0,0
51406,ARTHURUS Fillon,/individus/51406-arthurusfillon,textualProduction.religion.opus[].editionBefore1700[].meta,SIMPLE,,,,,0,0,0
51406,ARTHURUS Fillon,/individus/51406-arthurusfillon,textualProduction.religion.opus[].editionBefore1700[].meta,SIMPLE,,,,,0,0,0
51406,ARTHURUS Fillon,/individus/51406-arthurusfillon,textualProduction.religion.opus[].editionBefore1700[].meta,SIMPLE,,,,,0,0,0
51406,ARTHURUS Fillon,/individus/51406-arthurusfillon,textualProduction.religion.opus[].editionBefore1700[].meta,SIMPLE,,,,,0,0,0
51406,ARTHURUS Fillon,/individus/51406-arthurusfillon,textualProduction.religion.opus[].editionBefore1700[].meta,SIMPLE,,,,,0,0,0
51406,ARTHURUS Fillon,/individus/51406-arthurusfillon,textualProduction.religion.opus[].editionBefore1700[].meta,SIMPLE,,,,,0,0,0
51406,ARTHURUS Fillon,/individus/51406-arthurusfillon,textualProduction.religion.opus[].editionBefore1700[].meta,SIMPLE,,,,,0,0,0
51406,ARTHURUS Fillon,/individus/51406-arthurusfillon,textualProduction.religion.opus[].editionBefore1700[].meta,SIMPLE,,,,,0,0,0
51406,ARTHURUS Fillon,/individus/51406-arthurusfillon,textualProduction.religion.opus[].editionBefore1700[].meta,SIMPLE,,,,,0,0,0
51406,ARTHURUS Fillon,/individus/51406-arthurusfillon,textualProduction.religion.opus[].editionBefore1700[].meta,SIMPLE,,,,,0,0,0
51406,ARTHURUS Fillon,/individus/51406-arthurusfillon,textualProduction.religion.opus[].editionBefore1700[].meta,SIMPLE,,,,,0,0,0
51406,ARTHURUS Fillon,/individus/51406-arthurusfillon,textualProduction.religion.opus[].editionBefore1700[].meta,SIMPLE,,,,,0,0,0
51406,ARTHURUS Fillon,/individus/51406-arthurusfillon,textualProduction.religion.opus[].editionBefore1700[].meta,SIMPLE,,,,,0,0,0
51406,ARTHURUS Fillon,/individus/51406-arthurusfillon,textualProduction.religion.opus[].dateAndPlace[].meta,SIMPLE,,,,,0,0,0
51406,ARTHURUS Fillon,/individus/51406-arthurusfillon,textualProduction.religion.opus[].editionBefore1700[].meta,SIMPLE,,,,,0,0,0
51406,ARTHURUS Fillon,/individus/51406-arthurusfillon,textualProduction.religion.opus[].dateAndPlace[].meta,SIMPLE,,,,,0,0,0
51406,ARTHURUS Fillon,/individus/51406-arthurusfillon,textualProduction.religion.opus[].versions[].editionBefore1700[].meta,SIMPLE,,,,,0,0,0
51406,ARTHURUS Fillon,/individus/51406-arthurusfillon,textualProduction.religion.opus[].versions[].editionBefore1700[].meta,SIMPLE,,,,,0,0,0
51406,ARTHURUS Fillon,/individus/51406-arthurusfillon,textualProduction.religion.opus[].editionBefore1700[].meta,SIMPLE,,,,,0,0,0
51406,ARTHURUS Fillon,/individus/51406-arthurusfillon,textualProduction.religion.opus[].dateAndPlace[].meta,SIMPLE,,,,,0,0,0
