reference,name,link,path,type,start_year,end_year,start_len,end_len,start_out_of_bounds,end_out_of_bounds,interval_inverted
17195,ADRIANUS de Pictavia,/individus/17195-adrianusdepictavia,ecclesiasticalCareer.secularPosition[].meta,INTERVAL,1451.0,1447.0,4.0,4.0,0,0,1
16320,ARTHURUS Kaermerchon,/individus/16320-arthuruskaermerchon,identity.datesOfActivity[].meta,INTERVAL,1451.0,1445.0,4.0,4.0,0,0,1
645,ANDREAS Garin,/individus/645-andreasgarin,curriculum.university[].meta,INTERVAL,2387.0,1403.0,4.0,4.0,1,0,1
22115,ALBERTUS de Antoing,/individus/22115-albertusdeantoing,ecclesiasticalCareer.secularPosition[].meta,INTERVAL,1262.0,1104.0,4.0,4.0,0,0,1
53852,ASTORGIUS Glanderie,/individus/53852-astorgiusglanderie,ecclesiasticalCareer.secularPosition[].meta,INTERVAL,14487.0,1520.0,5.0,4.0,1,0,1
576,AMELIUS de Brolio,/individus/576-ameliusdebrolio,ecclesiasticalCareer.secularPosition[].meta,INTERVAL,1380.0,1375.0,4.0,4.0,0,0,1
576,AMELIUS de Brolio,/individus/576-ameliusdebrolio,ecclesiasticalCareer.secularPosition[].meta,INTERVAL,1394.0,395.0,4.0,3.0,0,1,1
8,ABSALON de Lund,/individus/8-absalondelund,travels.travels[].meta,INTERVAL,1158.0,11.0,4.0,2.0,0,1,1
927,ARNALDUS de Halla,/individus/927-arnaldusdehalla,ecclesiasticalCareer.secularPosition[].meta,INTERVAL,1426.0,1417.0,4.0,4.0,0,0,1
15674,ANTHONIUS Estournel,/individus/15674-anthoniusestournel,ecclesiasticalCareer.secularPosition[].meta,INTERVAL,1478.0,148.0,4.0,3.0,0,1,1
15597,ALANUS Moing,/individus/15597-alanusmoing,identity.datesOfActivity[].meta,INTERVAL,1443.0,1433.0,4.0,4.0,0,0,1
259,ALANUS de Rupe,/individus/259-alanusderupe,professionalCareer.universityFunction[].meta,INTERVAL,1464.0,1462.0,4.0,4.0,0,0,1
707,ANDREAS Zender de Zofingen,/individus/707-andreaszenderdezofingen,professionalCareer.lawFunction[].meta,INTERVAL,1497.0,1422.0,4.0,4.0,0,0,1
687,ANDREAS Raleti,/individus/687-andreasraleti,identity.datesOfActivity[].meta,INTERVAL,1379.0,1378.0,4.0,4.0,0,0,1
54942,BARTHOLOMAEUS Munerii,/individus/54942-bartholomaeusmunerii,identity.datesOfActivity[].meta,INTERVAL,1476.0,1401.0,4.0,4.0,0,0,1
1533,BONAVENTURA de Bagnoregio,/individus/1533-bonaventuradebagnoregio,textualProduction.religion.opus[].dateAndPlace[].meta,INTERVAL,1253.0,54.0,4.0,2.0,0,1,1
16648,BRANDANUS I de Castiglione,/individus/16648-brandanusidecastiglione,professionalCareer.representation[].meta,INTERVAL,14111.0,1412.0,5.0,4.0,1,0,1
16648,BRANDANUS I de Castiglione,/individus/16648-brandanusidecastiglione,professionalCareer.representation[].meta,INTERVAL,1412.0,1313.0,4.0,4.0,0,0,1
