issue,count,examples
textualProduction.religion:not_list,153,"[{""reference"": ""51406"", ""type"": ""dict"", ""preview"": ""{'value': 'Auteur actif dans le champ religieux :', 'meta': {}, 'opus': [{'title': [{'value': '&Speculum curatorum una cum confessionali ac tractatu de mysterio misse, et his que concernunt eadem, vid""}, {""reference"": ""904"", ""type"": ""dict"", ""preview"": ""{'value': 'Auteur actif dans le champ religieux :', 'meta': {}, 'opus': [{'title': [{'value': '&Manuale professorum regulae Sancti Augustini&', 'meta': {'titles': ['Manuale professorum regulae Sancti ""}, {""reference"": ""1103"", ""type"": ""dict"", ""preview"": ""{'value': 'Auteur actif dans le champ religieux :', 'meta': {}, 'opus': [{'title': [{'value': '&De arte sermoncinandi&', 'meta': {'titles': ['De arte sermoncinandi']}, 'comment': ['\\t/Traité inspiré d""}, {""reference"": ""868"", ""type"": ""dict"", ""preview"": ""{'value': 'Auteur actif dans le champ religieux :', 'meta': {}, 'opus': [{'title': [{'value': '&(Declaratio difficilium terminorum tam theologicorum quam philosophie)&', 'meta': {'titles': ['(Declarat""}, {""reference"": ""606"", ""type"": ""dict"", ""preview"": ""{'value': 'Auteur actif dans le champ religieux :', 'meta': {}, 'opus': [{'title': [{'value': '&Expositio super Heptateucum&', 'meta': {'titles': ['Expositio super Heptateucum']}}], 'dateAndPlace': [{""}]"
textualProduction.philosophy:not_list,43,"[{""reference"": ""868"", ""type"": ""dict"", ""preview"": ""{'value': 'Auteur actif dans le champ philosophique :', 'meta': {}, 'opus': [{'title': [{'value': '&(Commentaire sur De ente et essentia)&', 'meta': {'titles': ['(Commentaire sur De ente et essentia)'""}, {""reference"": ""17"", ""type"": ""dict"", ""preview"": ""{'value': 'Auteur actif dans le champ philosophique :', 'meta': {}, 'opus': [{'title': [{'value': '&Laus philosophiae cum quaestione : Utrum naturalis philosophus per rationem naturalem possit habere ""}, {""reference"": ""358"", ""type"": ""dict"", ""preview"": ""{'value': 'Auteur actif dans le champ de la philosophie :', 'meta': {}, 'opus': [{'title': [{'value': '&Quodlibet&', 'meta': {'titles': ['Quodlibet']}}], 'dateAndPlace': [{'value': '?', 'meta': {}}], ""}, {""reference"": ""421"", ""type"": ""dict"", ""preview"": ""{'value': 'Auteur actif dans le champ philosophique :', 'meta': {}, 'opus': [{'title': [{'value': '&Commentarius in Tractatum de consequentibus&', 'meta': {'titles': ['Commentarius in Tractatum de con""}, {""reference"": ""833"", ""type"": ""dict"", ""preview"": ""{'value': 'Auteur actif dans le champ philosophique :', 'meta': {}, 'opus': [{'title': [{'value': \""&Questio de intellectu possibili...'Utrum intellectus sit actus et forma'&\"", 'meta': {'titles': [\""Que""}]"
textualProduction.science:not_list,34,"[{""reference"": ""16807"", ""type"": ""dict"", ""preview"": ""{'value': 'Auteur actif dans le domaine scientifique :', 'meta': {}, 'opus': [{'title': [{'value': \""&(Commentaires sur les livres naturels d'Aristote)&\"", 'meta': {'titles': [\""(Commentaires sur les liv""}, {""reference"": ""421"", ""type"": ""dict"", ""preview"": ""{'value': 'Auteur actif dans le champ scientifique :', 'meta': {}, 'opus': [{'title': [{'value': '&De quadratura circuli&', 'meta': {'titles': ['De quadratura circuli']}}], 'dateAndPlace': [{'value': ""}, {""reference"": ""1079"", ""type"": ""dict"", ""preview"": ""{'value': '?Auteur actif dans le champ scientifique :', 'meta': {}, 'opus': [{'title': [{'value': '&Climatz&', 'meta': {'titles': ['Climatz']}, 'reference': ['\\t        PHARES (S. de), &Recueil des pl""}, {""reference"": ""833"", ""type"": ""dict"", ""preview"": ""{'value': 'Auteur actif dans le champ scientifique :', 'meta': {}, 'opus': [{'title': [{'value': \""&Questio disputata 'Utrum primum principium sive Deus'&\"", 'meta': {'titles': [\""Questio disputata 'Utru""}, {""reference"": ""50875"", ""type"": ""dict"", ""preview"": ""{'value': 'Auteur actif dans le champ scientifique :', 'meta': {}, 'opus': [{'title': [{'value': '&Super De generatione et corruptione&', 'meta': {'titles': ['Super De generatione et corruptione']}}],""}]"
textualProduction.administrativePractice:not_list,30,"[{""reference"": ""592"", ""type"": ""dict"", ""preview"": ""{'value': 'Document de la pratique :', 'meta': {}, 'opus': [{'title': [{'value': '&Liber expansorum&', 'meta': {'titles': ['Liber expansorum']}}], 'dateAndPlace': [{'value': '?', 'meta': {}}], 'manusc""}, {""reference"": ""58691"", ""type"": ""dict"", ""preview"": ""{'value': 'Auteur actif dans le champ pragmatique :', 'meta': {}, 'opus': [{'title': [{'value': '&Statuta canonicorum regularum&', 'meta': {'titles': ['Statuta canonicorum regularum']}}], 'dateAndPlac""}, {""reference"": ""50875"", ""type"": ""dict"", ""preview"": ""{'value': 'Documents de la pratique :', 'meta': {}, 'opus': [{'title': [{'value': '&Testament&', 'meta': {'titles': ['Testament']}}], 'dateAndPlace': [{'value': '%1315% (29 mars).', 'meta': {'dates': ""}, {""reference"": ""55329"", ""type"": ""dict"", ""preview"": ""{'value': 'Auteur actif dans le domaine pragmatique :', 'meta': {}, 'opus': [{'title': [{'value': '&Epistola&', 'meta': {'titles': ['Epistola']}}], 'dateAndPlace': [{'value': '%1108%.', 'meta': {'date""}, {""reference"": ""16800"", ""type"": ""dict"", ""preview"": ""{'value': 'Documents de la pratique :', 'meta': {}, 'opus': [{'title': [{'value': '&Lettre encyclique&', 'meta': {'titles': ['Lettre encyclique']}}], 'dateAndPlace': [{'value': '%1285%', 'meta': {'dat""}]"
textualProduction.political:not_list,30,"[{""reference"": ""421"", ""type"": ""dict"", ""preview"": ""{'value': 'Auteur actif dans le champ politique :', 'meta': {}, 'opus': [{'title': [{'value': '&Dicta super Aristotelis Oeconomicam&', 'meta': {'titles': ['Dicta super Aristotelis Oeconomicam']}}], 't""}, {""reference"": ""50875"", ""type"": ""dict"", ""preview"": ""{'value': 'Auteur actif dans le champ politique :', 'meta': {}, 'opus': [{'title': [{'value': '&De differentia ethicae, politicae et rhetoricae&', 'meta': {'titles': ['De differentia ethicae, politica""}, {""reference"": ""253"", ""type"": ""dict"", ""preview"": ""{'value': 'Auteur acif dans le champ politique :', 'meta': {}, 'opus': [{'title': [{'value': \""&(Discours à Charles VI sur les libertés de l'Eglise)&\"", 'meta': {'titles': [\""(Discours à Charles VI sur l""}, {""reference"": ""3113"", ""type"": ""dict"", ""preview"": ""{'value': 'Auteur actif dans le champ politique ::', 'meta': {}, 'opus': [{'title': [{'value': '&Quaestiones supra decem libros Ethicorum&', 'meta': {'titles': ['Quaestiones supra decem libros Ethicor""}, {""reference"": ""482"", ""type"": ""dict"", ""preview"": ""{'value': 'Auteur actif dans le champ politique :', 'meta': {}, 'opus': [{'title': [{'value': '&Epitome librorum S. Augustini de Civitate Dei&', 'meta': {'titles': ['Epitome librorum S. Augustini de C""}]"
textualProduction.history:not_list,26,"[{""reference"": ""17"", ""type"": ""dict"", ""preview"": ""{'value': 'Auteur actif dans le champ historique :', 'meta': {}, 'opus': [{'title': [{'value': '&[Oraison funèbre de CHARLES IV de Luxembourg]&', 'meta': {'titles': ['[Oraison funèbre de CHARLES IV de""}, {""reference"": ""793"", ""type"": ""dict"", ""preview"": ""{'value': 'Auteur actif dans le champ historique :', 'meta': {}, 'opus': [{'title': [{'value': '&(Continuation du Compendi historial)&', 'meta': {'titles': ['(Continuation du Compendi historial)']}}],""}, {""reference"": ""15556"", ""type"": ""dict"", ""preview"": ""{'value': 'Auteur actif dans le champ historique (hagiographie) :', 'meta': {}, 'opus': [{'title': [{'value': '&Magna Vita Hugonis&', 'meta': {'titles': ['Magna Vita Hugonis']}}], 'dateAndPlace': [{'v""}, {""reference"": ""117"", ""type"": ""dict"", ""preview"": ""{'value': 'Auteur actif dans le domaine historique :', 'meta': {}, 'opus': [{'title': [{'value': '&(La Chanson du roi de Sicile)&', 'meta': {'titles': ['(La Chanson du roi de Sicile)']}}], 'dateAndPla""}, {""reference"": ""59549"", ""type"": ""dict"", ""preview"": ""{'value': 'Auteur actif dans le champ historique :', 'meta': {}, 'opus': [{'title': [{'value': '&Historia canonizationis et translationis sancti Edmundi archiepiscopi Cantuarensis ab Alberto|archiepis""}]"
textualProduction.philosophyExtended:not_list,20,"[{""reference"": ""822"", ""type"": ""dict"", ""preview"": ""{'value': 'Auteur actif dans le champ grammatical :', 'meta': {}, 'opus': [{'title': [{'value': '&De arte dialectica&', 'meta': {'titles': ['De arte dialectica']}}], 'titleVariant': [{'value': '&Ars d""}, {""reference"": ""50875"", ""type"": ""dict"", ""preview"": ""{'value': 'Auteur actif dans le champ rhétorique :', 'meta': {}, 'opus': [{'title': [{'value': '&Super libros Rhetoricorum&', 'meta': {'titles': ['Super libros Rhetoricorum']}}], 'dateAndPlace': [{'va""}, {""reference"": ""367"", ""type"": ""dict"", ""preview"": ""{'value': 'Actif dans le domaine grammatical :', 'meta': {}, 'opus': [{'title': [{'value': '&Sententia super modos significandi&', 'meta': {'titles': ['Sententia super modos significandi']}}], 'dateAn""}, {""reference"": ""17153"", ""type"": ""dict"", ""preview"": ""{'value': 'Auteur actif dans le champ philologique :', 'meta': {}, 'opus': [{'title': [{'value': '&Ars dictandi&', 'meta': {'titles': ['Ars dictandi']}}], 'dateAndPlace': [{'value': '?', 'meta': {}}],""}, {""reference"": ""497"", ""type"": ""dict"", ""preview"": ""{'value': 'Auteur actif dans le champ de la philologie :', 'meta': {}, 'opus': [{'title': [{'value': '&Super Marcianum de nuptiis Mercurii et Philologiae&', 'meta': {'titles': ['Super Marcianum de nup""}]"
textualProduction.litterature:not_list,17,"[{""reference"": ""1100"", ""type"": ""dict"", ""preview"": ""{'value': 'Auteur actif dans le champ littéraire :', 'meta': {}, 'opus': [{'title': [{'value': '&Facetiae&', 'meta': {'titles': ['Facetiae']}}], 'dateAndPlace': [{'value': '?', 'meta': {}}], 'manuscri""}, {""reference"": ""253"", ""type"": ""dict"", ""preview"": ""{'value': 'Auteur actif dans le champ littéraire:', 'meta': {}, 'opus': [{'title': [{'value': '&(Lettre à son frère)&', 'meta': {'titles': ['(Lettre à son frère)']}}], 'language': [{'value': 'Latin', ""}, {""reference"": ""759"", ""type"": ""dict"", ""preview"": ""{'value': 'Auteur dans le champ littéraire ?', 'meta': {}, 'opus': [{'title': [{'value': '&Libre de Tres&', 'meta': {'titles': ['Libre de Tres']}}], 'dateAndPlace': [{'value': '?', 'meta': {}}], 'manu""}, {""reference"": ""608"", ""type"": ""dict"", ""preview"": ""{'value': 'Auteur actif dans le champ littéraire :', 'meta': {}, 'opus': [{'title': [{'value': '&De arte amatoria et reprobatione amoris (seu De Amore libri tres)&', 'meta': {'titles': ['De arte amato""}, {""reference"": ""117"", ""type"": ""dict"", ""preview"": ""{'value': 'Actif dans le domaine littéraire :', 'meta': {}, 'opus': [{'title': [{'value': '&Jeu de la Feuillée&.', 'meta': {'titles': ['Jeu de la Feuillée']}}], 'dateAndPlace': [{'value': '?%1276%', '""}]"
textualProduction.justice:not_list,17,"[{""reference"": ""50875"", ""type"": ""dict"", ""preview"": ""{'value': 'Auteur actif dans le champ juridique.', 'meta': {}, 'opus': [{'title': [{'value': '&Liber contra exemptos&', 'meta': {'titles': ['Liber contra exemptos']}}], 'dateAndPlace': [{'value': '%13""}, {""reference"": ""1093"", ""type"": ""dict"", ""preview"": ""{'value': 'Auteur actif dans le champ juridique :', 'meta': {}, 'opus': [{'title': [{'value': '&Reportatio Guillelmi de Dormano Quaestionis&', 'meta': {'titles': ['Reportatio Guillelmi de Dormano Quae""}, {""reference"": ""15302"", ""type"": ""dict"", ""preview"": ""{'value': 'Auteur actif dans le champ juridique :', 'meta': {}, 'opus': [{'title': [{'value': '&(Opinions citées dans les Gloses sur la Compilatio Prima)&', 'meta': {'titles': ['(Opinions citées dans ""}, {""reference"": ""134"", ""type"": ""dict"", ""preview"": ""{'value': 'Auteur actif dans le champ juridique (droit canon) :', 'meta': {}, 'opus': [{'title': [{'value': '&Summa causarum de facto et usu curie&', 'meta': {'titles': ['Summa causarum de facto et us""}, {""reference"": ""281"", ""type"": ""dict"", ""preview"": ""{'value': 'Auteur actif dans le champ juridique :', 'meta': {}, 'opus': [{'title': [{'value': '?&(Glose super \""De decimis\"")&', 'meta': {'titles': ['(Glose super \""De decimis\"")']}}], 'dateAndPlace': [{'""}]"
textualProduction.medicineOpus:not_list,16,"[{""reference"": ""358"", ""type"": ""dict"", ""preview"": ""{'value': 'Auteur actif dans le champ médical :', 'meta': {}, 'opus': [{'title': [{'value': '&Comm. in Avicenne Canon.&', 'meta': {'titles': ['Comm. in Avicenne Canon.']}}], 'dateAndPlace': [{'value':""}, {""reference"": ""833"", ""type"": ""dict"", ""preview"": ""{'value': 'Auteur actif dans le champ médical :', 'meta': {}, 'opus': [{'title': [{'value': '&Commentarius super primam fen primi canonis Avicenne&', 'meta': {'titles': ['Commentarius super primam fen""}, {""reference"": ""252"", ""type"": ""dict"", ""preview"": ""{'value': 'Auteur actif dans le champ médical:', 'meta': {}, 'opus': [{'title': [{'value': '&Petit traictié contre pestillence&', 'meta': {'titles': ['Petit traictié contre pestillence']}, 'reference'""}, {""reference"": ""491"", ""type"": ""dict"", ""preview"": ""{'value': 'Auteur actif dans le domaine médical :', 'meta': {}, 'opus': [{'title': [{'value': '&Quaestio de subiecto medicinae&', 'meta': {'titles': ['Quaestio de subiecto medicinae']}}], 'dateAndPlac""}, {""reference"": ""3119"", ""type"": ""dict"", ""preview"": ""{'value': 'Auteur actif dans le champ médical :', 'meta': {}, 'opus': [{'title': [{'value': '&Carmen de pulsibus&', 'meta': {'titles': ['Carmen de pulsibus']}}], 'dateAndPlace': [{'value': '?', 'meta'""}]"
