reference,name,link,n_value_strings,chars_raw,chars_clean,has_percent_markup,has_dollar_markup,has_amp_markup
51406,ARTHURUS Fillon,/individus/51406-arthurusfillon,68,2267,2163,1,1,1
19371,ANTHONIUS de Tramecourt,/individus/19371-anthoniusdetramecourt,23,912,872,1,1,1
15686,ANTHONIUS de Manso 1,/individus/15686-anthoniusdemanso1,14,534,522,1,1,0
16844,AEGIDIUS Grunsineti,/individus/16844-aegidiusgrunsineti,21,552,521,1,1,0
16461,AEGIDIUS Longatre,/individus/16461-aegidiuslongatre,12,452,442,1,1,0
904,ARNALDUS Bernardi,/individus/904-arnaldusbernardi,46,1959,1919,1,1,1
794,ANTHONIUS Ostlin,/individus/794-anthoniusostlin,17,703,687,1,1,1
76,ADAM de Charniaco,/individus/76-adamdecharniaco,12,260,252,1,1,1
15578,ADRIANUS Maes,/individus/15578-adrianusmaes,12,310,300,1,1,0
17089,ANTHONIUS Du Bies,/individus/17089-anthoniusdubies,10,466,460,1,1,1
16057,AEGIDIUS de Turre,/individus/16057-aegidiusdeturre,21,598,580,1,1,0
57817,ANNE Goujon,/individus/57817-annegoujon,13,285,279,1,1,0
719,ANDREAS de Forlivio,/individus/719-andreasdeforlivio,16,408,396,1,1,0
961,ARNALDUS Petri de Haerlem,/individus/961-arnalduspetridehaerlem,29,1049,1004,1,1,0
411,ALBERTUS de Lyolit,/individus/411-albertusdelyolit,11,394,385,1,1,1
16078,AEGIDIUS de Westina,/individus/16078-aegidiusdewestina,24,1144,1113,1,1,0
1103,AUSTENCIUS de Sancta Colomba,/individus/1103-austenciusdesanctacolomba,54,2212,2178,1,1,1
19106,AMOURICUS de Baionne,/individus/19106-amouricusdebaionne,10,463,457,1,1,0
53629,AEGIDIUS de Molinis,/individus/53629-aegidiusdemolinis,13,368,354,1,1,0
16221,ALANUS de Coetivy,/individus/16221-alanusdecoetivy,26,726,687,1,1,0
15583,ALANUS Balbiou,/individus/15583-alanusbalbiou,10,311,303,1,1,0
58,ADAM Scotrelman,/individus/58-adamscotrelman,10,221,213,1,1,0
139,ADOLPHUS de Anchermont,/individus/139-adolphusdeanchermont,12,348,336,1,1,0
15633,ANDREAS Guilberti,/individus/15633-andreasguilberti,19,797,777,1,1,0
15849,ADAM Paradisi,/individus/15849-adamparadisi,16,455,443,1,1,0
255,ALANUS de Beccles,/individus/255-alanusdebeccles,36,1585,1539,1,1,1
3112,AEGIDIUS de Auxerre,/individus/3112-aegidiusdeauxerre,14,415,403,1,1,0
868,ARMANDUS de Bellovisu,/individus/868-armandusdebellovisu,249,13714,13503,1,1,1
60550,ALBERICUS Graindor,/individus/60550-albericusgraindor,16,394,386,1,1,0
16529,AEGIDIUS Mathei Colon de Spies,/individus/16529-aegidiusmatheicolondespies,11,392,380,1,1,0
299,ALANUS Toupin,/individus/299-alanustoupin,11,331,321,1,1,0
652,ANDREAS Grangerii,/individus/652-andreasgrangerii,28,1025,999,1,1,0
16832,ANTHONIUS Morelli,/individus/16832-anthoniusmorelli,14,483,465,1,1,1
20878,Abbas de …rpenay,/individus/20878-abbasde…rpenay,12,498,488,1,1,1
16191,ADAM Clerici,/individus/16191-adamclerici,13,291,281,1,1,0
15587,ALANUS Gaubert,/individus/15587-alanusgaubert,16,530,515,1,1,0
427,ALBERTUS de Zwivel,/individus/427-albertusdezwivel,11,332,322,1,1,0
16517,AMBRICUS Janeti Jaquemini de Pratellis,/individus/16517-ambricusjanetijaqueminidepratellis,14,610,604,1,1,0
17134,ADAM de Senonis,/individus/17134-adamdesenonis,21,1219,1185,1,1,1
606,ANDREAS de Sancto Victore,/individus/606-andreasdesanctovictore,165,12236,12116,1,1,1
17,ADALBERTUS Ranconis de Ericinio,/individus/17-adalbertusranconisdeericinio,131,7111,6977,1,1,1
592,ANDREAS Corsini,/individus/592-andreascorsini,40,1387,1349,1,1,1
779,ANTHONIUS Crescentia,/individus/779-anthoniuscrescentia,13,405,397,1,1,0
18367,AEGIDIUS de Tillia,/individus/18367-aegidiusdetillia,13,291,281,1,1,1
16367,AMBROSIUS Genuys,/individus/16367-ambrosiusgenuys,13,410,402,1,1,1
228,AEGIDIUS de Ponte,/individus/228-aegidiusdeponte,13,398,386,1,1,1
22979,ALPHONSUS 2,/individus/22979-alphonsus2,12,387,375,1,1,1
17150,AUREOLUS Pasquier,/individus/17150-aureoluspasquier,13,781,769,1,1,1
17195,ADRIANUS de Pictavia,/individus/17195-adrianusdepictavia,25,926,896,1,1,1
849,ANTHONIUS de Dam,/individus/849-anthoniusdedam,10,277,269,1,1,0
123,ADAM Payn,/individus/123-adampayn,30,1487,1445,1,1,1
16280,ALANUS Brito 2,/individus/16280-alanusbrito2,14,754,736,1,1,1
16493,ANDREAS Mel,/individus/16493-andreasmel,12,485,475,1,1,0
50903,ALANUS de Lespervez,/individus/50903-alanusdelespervez,26,813,793,1,1,0
903,ARNALDUS Barrari,/individus/903-arnaldusbarrari,14,294,288,1,1,0
965,ARNALDUS Knapensis de Novimagio,/individus/965-arnaldusknapensisdenovimagio,17,587,569,1,1,0
678,ANDREAS Michaelis,/individus/678-andreasmichaelis,16,439,422,1,1,0
17016,ANDREAS Lebouc,/individus/17016-andreaslebouc,10,455,447,1,1,1
596,ANDREAS Sunesen,/individus/596-andreassunesen,46,3212,3147,1,1,1
16458,AEGIDIUS Drueti,/individus/16458-aegidiusdrueti,15,575,559,1,1,0
56570,ANTHONIUS Alamandi,/individus/56570-anthoniusalamandi,21,635,607,1,1,0
16295,ANTHONIUS de Bouraches,/individus/16295-anthoniusdebouraches,11,295,285,1,1,0
19244,ARCHAMBALDUS de Firmitate,/individus/19244-archambaldusdefirmitate,12,363,353,1,1,0
522,ALEXIUS Schitterberg,/individus/522-alexiusschitterberg,27,1089,1049,1,1,1
941,ARNALDUS Bottelgier,/individus/941-arnaldusbottelgier,15,409,393,1,1,0
753,ANGELUS de Spoleto,/individus/753-angelusdespoleto,16,436,422,1,1,0
16344,ANTHONIUS de Mes,/individus/16344-anthoniusdemes,13,362,352,1,1,0
685,ANDREAS Petri de Leydis,/individus/685-andreaspetrideleydis,19,700,683,1,1,1
58867,AMADEUS Bonifidelis,/individus/58867-amadeusbonifidelis,25,758,736,1,1,0
57796,ANTHONIUS Rogeyroni,/individus/57796-anthoniusrogeyroni,12,442,430,1,1,1
635,ANDREAS Getland de Prussia,/individus/635-andreasgetlanddeprussia,25,889,853,1,1,0
525,ALPHONSUS 1,/individus/525-alphonsus1,13,362,352,1,1,0
236,AEGIDIUS Woylen,/individus/236-aegidiuswoylen,16,648,634,1,1,0
59376,ANTHONIUS de Saint-Morice,/individus/59376-anthoniusdesaint-morice,13,370,364,1,1,0
20453,ARNERUS,/individus/20453-arnerus,17,586,562,1,1,1
17152,ARTHAUDUS,/individus/17152-arthaudus,11,307,297,1,1,1
16167,AEGIDIUS Everard,/individus/16167-aegidiuseverard,20,1060,1029,1,1,0
23280,ADAM Romani,/individus/23280-adamromani,10,484,470,1,1,1
175,AEGIDIUS Chaumardi 2,/individus/175-aegidiuschaumardi2,15,509,495,1,1,0
50796,ADAM Bosen,/individus/50796-adambosen,15,392,376,1,1,1
1082,AUBERTUS de Guignicurte,/individus/1082-aubertusdeguignicurte,30,1974,1934,1,1,1
12582,ARNALDUS de Glymez,/individus/12582-arnaldusdeglymez,28,1061,1023,1,1,1
418,ALBERTUS de Prussia,/individus/418-albertusdeprussia,20,758,734,1,1,0
215,AEGIDIUS de Coucyaco,/individus/215-aegidiusdecoucyaco,13,329,321,1,1,0
17054,AMELINUS Bertin,/individus/17054-amelinusbertin,11,477,469,1,1,1
50958,ALPHONSUS de Castro,/individus/50958-alphonsusdecastro,10,470,464,1,1,1
16382,ANTHONIUS Vallet,/individus/16382-anthoniusvallet,12,314,306,1,1,0
17099,ANDREAS Jumenis,/individus/17099-andreasjumenis,11,481,473,1,1,1
1034,ARNALDUS 1,/individus/1034-arnaldus1,25,546,530,1,1,1
974,ARNALDUS Prel de Heppenaert,/individus/974-arnalduspreldeheppenaert,13,307,300,1,1,0
46,ADAM Lochart,/individus/46-adamlochart,18,571,553,1,1,0
3108,AEGIDIUS de Dullendio,/individus/3108-aegidiusdedullendio,28,994,961,1,1,1
16143,ALARDUS de Carvin,/individus/16143-alardusdecarvin,14,371,361,1,1,0
179,AEGIDIUS Hardenge,/individus/179-aegidiushardenge,11,306,296,1,1,0
9624,AUGERIUS de Regii,/individus/9624-augeriusderegii,11,364,354,1,1,0
25390,AMADEUS de Gebenna,/individus/25390-amadeusdegebenna,25,792,762,1,1,1
854,ANTHONIUS de Pararacio,/individus/854-anthoniusdepararacio,27,1204,1186,1,1,1
149,ADRIANUS de Huesden,/individus/149-adrianusdehuesden,18,408,394,1,1,0
630,ANDREAS Coudenc,/individus/630-andreascoudenc,13,328,320,1,1,0
16433,ANTHONIUS Papin,/individus/16433-anthoniuspapin,13,345,335,1,1,0
352,ALBERTUS Engelschalk,/individus/352-albertusengelschalk,34,1290,1261,1,1,1
16144,AEGIDIUS Venant,/individus/16144-aegidiusvenant,13,323,313,1,1,0
479,ALEXANDER de Naverra,/individus/479-alexanderdenaverra,10,269,261,1,1,0
826,ANTHONIUS Gratias,/individus/826-anthoniusgratias,17,658,636,1,1,0
307,ALANUS de Mirech,/individus/307-alanusdemirech,11,455,443,1,1,1
1099,AUGUSTINUS Oler,/individus/1099-augustinusoler,23,893,866,1,1,1
33,ADAM Carnificis 1,/individus/33-adamcarnificis1,48,3232,3156,1,1,1
426,ALBERTUS de Yselsteyn,/individus/426-albertusdeyselsteyn,18,494,477,1,1,0
16065,AEGIDIUS Morelet,/individus/16065-aegidiusmorelet,18,824,804,1,1,1
351,ALBERTUS Bludo,/individus/351-albertusbludo,22,548,532,1,1,0
518,ALEXANDER de Urchard,/individus/518-alexanderdeurchard,19,789,767,1,1,1
16359,ANTHONIUS Garlan,/individus/16359-anthoniusgarlan,12,316,308,1,1,0
219,AEGIDIUS de Drocis,/individus/219-aegidiusdedrocis,9,272,268,1,1,0
13164,ANTHONIUS Kien,/individus/13164-anthoniuskien,22,1006,983,1,1,1
16271,ANDREAS Reginaldi,/individus/16271-andreasreginaldi,16,479,463,1,1,0
15719,ARNULPHUS Dorioti,/individus/15719-arnulphusdorioti,23,743,721,1,1,0
57794,ANDREAS Guilloti,/individus/57794-andreasguilloti,14,449,439,1,1,1
57795,ANTHONIUS Charbonnet,/individus/57795-anthoniuscharbonnet,14,568,556,1,1,1
387,ALBERTUS Nyenborch,/individus/387-albertusnyenborch,11,320,310,1,1,0
229,AEGIDIUS de Stanno,/individus/229-aegidiusdestanno,11,218,212,1,1,0
633,ANDREAS Dalman,/individus/633-andreasdalman,15,407,399,1,1,0
16837,AUFREDUS Tortoret,/individus/16837-aufredustortoret,14,510,494,1,1,1
954,ARNALDUS Ghier,/individus/954-arnaldusghier,13,315,303,1,1,0
695,ANDREAS Symonis de Prussia,/individus/695-andreassymonisdeprussia,17,709,689,1,1,0
15621,ANDREAS Boquel,/individus/15621-andreasboquel,11,319,309,1,1,0
192,AEGIDIUS Morsels,/individus/192-aegidiusmorsels,19,1025,1005,1,1,1
17168,AEGIDIUS de Tilloy,/individus/17168-aegidiusdetilloy,10,518,510,1,1,1
185,AEGIDIUS Keynoghe,/individus/185-aegidiuskeynoghe,21,1486,1461,1,1,1
16796,ABSALON Absolonis,/individus/16796-absalonabsolonis,27,1355,1289,1,1,1
373,ALBERTUS Alberti,/individus/373-albertusalberti,17,560,544,1,1,1
1022,ARNALDUS de Scoenhovia,/individus/1022-arnaldusdescoenhovia,13,337,327,1,1,0
16965,ARVIDUS Jacobi,/individus/16965-arvidusjacobi,41,1855,1766,1,1,1
282,ALANUS Le Cauchonnier,/individus/282-alanuslecauchonnier,20,763,741,1,1,1
16287,AEGIDIUS de Ecclesia,/individus/16287-aegidiusdeecclesia,12,661,633,1,1,1
358,ALBERTUS de Bologna,/individus/358-albertusdebologna,42,1306,1286,1,1,1
58964,ANTHONIUS de Bosne,/individus/58964-anthoniusdebosne,14,408,396,1,1,0
16129,ADAM Ladan,/individus/16129-adamladan,12,278,272,1,1,0
715,ANDREAS de Durisder,/individus/715-andreasdedurisder,31,1018,961,1,1,1
16826,AEGIDIUS Louyn,/individus/16826-aegidiuslouyn,13,330,320,1,1,0
684,ANDREAS Passemer,/individus/684-andreaspassemer,10,213,209,1,1,0
978,ARNALDUS Tange,/individus/978-arnaldustange,11,323,312,1,1,0
340,ALBERICUS 1,/individus/340-albericus1,11,250,244,1,1,0
354,ALBERTUS Scroter,/individus/354-albertusscroter,21,629,605,1,1,1
498,ALEXANDER de Abercrumby,/individus/498-alexanderdeabercrumby,20,618,598,1,1,0
160,AEGIDIUS Abbatis,/individus/160-aegidiusabbatis,28,1281,1243,1,1,1
16375,ANDREAS de Furno,/individus/16375-andreasdefurno,12,291,283,1,1,0
57259,ANGOULAND Walemberet,/individus/57259-angoulandwalemberet,14,510,498,1,1,1
980,ARNALDUS Uncus,/individus/980-arnaldusuncus,12,361,348,1,1,0
58691,AEGIDIUS Breedyck,/individus/58691-aegidiusbreedyck,44,1583,1531,1,1,1
734,ANDREAS de Rugniaco,/individus/734-andreasderugniaco,19,944,920,1,1,1
55327,ALANUS de Mellento,/individus/55327-alanusdemellento,19,523,505,1,1,0
870,ARMANDUS Jausserandi,/individus/870-armandusjausserandi,40,1896,1826,1,1,1
13171,AUGUSTINUS Zenobi,/individus/13171-augustinuszenobi,13,465,453,1,1,0
16807,ANDREAS Venetus 1,/individus/16807-andreasvenetus1,52,1800,1746,1,1,1
16336,ANTHONIUS Richon,/individus/16336-anthoniusrichon,16,475,459,1,1,0
16208,AEGIDIUS Martel,/individus/16208-aegidiusmartel,14,245,233,1,1,0
226,AEGIDIUS de Passiaco,/individus/226-aegidiusdepassiaco,26,855,827,1,1,1
18363,AEGIDIUS Gossuin,/individus/18363-aegidiusgossuin,15,353,341,1,1,1
1100,AUGUSTINUS Threnger,/individus/1100-augustinusthrenger,27,1031,1007,1,1,1
93,ADAM de Melun,/individus/93-adamdemelun,13,332,320,1,1,0
13153,AMELIUS Pavillon,/individus/13153-ameliuspavillon,37,1832,1744,1,1,0
234,AEGIDIUS de Ventelayo,/individus/234-aegidiusdeventelayo,17,631,616,1,1,0
556,AMANDUS de Sancto Quintino,/individus/556-amandusdesanctoquintino,53,2568,2518,1,1,1
16070,AEGIDIUS Rapiout,/individus/16070-aegidiusrapiout,29,1402,1366,1,1,1
195,AEGIDIUS Nettelet,/individus/195-aegidiusnettelet,59,2206,2134,1,1,1
601,ANDREAS de Novocastro,/individus/601-andreasdenovocastro,33,1813,1782,1,1,1
55325,ALANUS de Barecio,/individus/55325-alanusdebarecio,16,463,447,1,1,0
799,ANTHONIUS de Castro,/individus/799-anthoniusdecastro,34,1449,1409,1,1,1
54043,AEGIDIUS Ragot,/individus/54043-aegidiusragot,20,571,549,1,1,0
16434,ANTHONIUS Petri de Vorse,/individus/16434-anthoniuspetridevorse,11,311,303,1,1,0
206,AEGIDIUS de Asperomonte,/individus/206-aegidiusdeasperomonte,78,5673,5523,1,1,1
2089,AEGIDIUS de Anguyneo,/individus/2089-aegidiusdeanguyneo,12,295,285,1,1,0
17181,ANDREAS Wasselin,/individus/17181-andreaswasselin,29,1721,1676,1,1,1
50999,ANDREAS Cotin 1,/individus/50999-andreascotin1,37,1921,1849,1,1,1
15571,ADAM Capucii,/individus/15571-adamcapucii,15,487,472,1,1,0
60681,AEGIDIUS Dinchy,/individus/60681-aegidiusdinchy,20,541,515,1,1,0
822,ADAM de Parvo Ponte,/individus/822-adamdeparvoponte,46,2488,2426,1,1,1
59791,ALEXANDRUS,/individus/59791-alexandrus,11,273,267,1,1,0
865,ARDENGUS Trotti de Florence,/individus/865-ardengustrottideflorence,40,1566,1528,1,1,1
157,AEGIDIUS 6,/individus/157-aegidius6,11,270,263,1,1,0
58586,ALBERTUS de Käfernburg,/individus/58586-albertusdekäfernburg,23,997,967,1,1,1
16277,ANTHONIUS 2,/individus/16277-anthonius2,10,320,316,1,1,0
25467,ADAM Achal,/individus/25467-adamachal,16,433,421,1,1,0
750,ANZELERIUS de Madelbertis de Cremona,/individus/750-anzeleriusdemadelbertisdecremona,12,333,329,1,1,0
17045,ANTHONIUS de Vallibus,/individus/17045-anthoniusdevallibus,10,468,462,1,1,1
