path,count,coverage
_id,20149,1.0
extras,20149,1.0
identity,20149,1.0
identity.gender,20149,1.0
identity.gender[],20149,1.0
identity.gender[].meta,20149,1.0
identity.gender[].meta.isComment,20149,1.0
identity.gender[].meta.isLink,20149,1.0
identity.gender[].value,20149,1.0
identity.name,20149,1.0
identity.name[],20149,1.0
identity.name[].meta,20149,1.0
identity.name[].value,20149,1.0
link,20149,1.0
raw,20149,1.0
raw[],20149,1.0
reference,20149,1.0
title,20149,1.0
identity.status,20147,0.9999007394907936
identity.status[],20147,0.9999007394907936
identity.status[].meta,20147,0.9999007394907936
identity.status[].value,20147,0.9999007394907936
bibliography,20127,0.9989081343987295
identity.datesOfActivity,20125,0.9988088738895231
identity.datesOfActivity[],20125,0.9988088738895231
identity.datesOfActivity[].meta,20125,0.9988088738895231
identity.datesOfActivity[].value,20125,0.9988088738895231
identity.datesOfActivity[].meta.dates,20119,0.9985110923619038
identity.datesOfActivity[].meta.dates[],20119,0.9985110923619038
identity.datesOfActivity[].meta.dates[].type,20117,0.9984118318526974
identity.datesOfActivity[].meta.dates[].endDate,20111,0.9981140503250782
identity.datesOfActivity[].meta.dates[].startDate,20111,0.9981140503250782
identity.datesOfActivity[].meta.dates[].startDate.date,20111,0.9981140503250782
identity.datesOfActivity[].meta.dates[].startDate.type,20111,0.9981140503250782
identity.nameVariant,20106,0.9978658990520621
identity.nameVariant[],20106,0.9978658990520621
identity.nameVariant[].meta,20106,0.9978658990520621
identity.nameVariant[].value,20106,0.9978658990520621
identity.datesOfActivity[].meta.dates[].endDate.date,20091,0.997121445233014
identity.datesOfActivity[].meta.dates[].endDate.type,20091,0.997121445233014
identity.nameVariant[].meta.names,20088,0.9969725544692044
identity.nameVariant[].meta.names[],20088,0.9969725544692044
extras.activityMediane,20045,0.9948384535212665
identity.shortDescription,20004,0.9928036130825351
identity.shortDescription[],20004,0.9928036130825351
identity.shortDescription[].meta,20004,0.9928036130825351
identity.shortDescription[].value,20004,0.9928036130825351
bibliography.otherBases,19682,0.9768226711003027
bibliography.otherBases[],19682,0.9768226711003027
bibliography.otherBases[].meta,19682,0.9768226711003027
bibliography.otherBases[].value,19682,0.9768226711003027
curriculum,19614,0.9734478137872847
curriculum.university,19467,0.9661521663606134
curriculum.university[],19467,0.9661521663606134
curriculum.university[].meta,19467,0.9661521663606134
curriculum.university[].value,19467,0.9661521663606134
curriculum.grades,18773,0.9317087696659884
curriculum.grades[],18773,0.9317087696659884
curriculum.grades[].meta,18773,0.9317087696659884
curriculum.grades[].value,18773,0.9317087696659884
bibliography.workReferences,16857,0.8366172018462454
bibliography.workReferences[],16857,0.8366172018462454
bibliography.workReferences[].meta,16857,0.8366172018462454
bibliography.workReferences[].value,16857,0.8366172018462454
curriculum.university[].meta.places,15762,0.7822720730557348
curriculum.university[].meta.places[],15762,0.7822720730557348
identity.nameVariant[].reference,13753,0.6825648915578937
identity.nameVariant[].reference[],13753,0.6825648915578937
curriculum.grades[].reference,13319,0.6610253610601022
curriculum.grades[].reference[],13319,0.6610253610601022
curriculum.grades[].meta.places,12640,0.6273264181845253
curriculum.grades[].meta.places[],12640,0.6273264181845253
curriculum.university[].meta.dates,12431,0.6169536949724552
curriculum.university[].meta.dates[],12431,0.6169536949724552
curriculum.university[].meta.dates[].type,12410,0.6159114596257879
curriculum.grades[].meta.dates,12386,0.614720333515311
curriculum.grades[].meta.dates[],12386,0.614720333515311
curriculum.grades[].meta.dates[].type,12351,0.6129832746041988
curriculum.grades[].meta.dates[].date,11577,0.5745694575413172
origin,11193,0.555511439773686
ecclesiasticalCareer,10924,0.5421609012854236
origin.birthPlace,10603,0.5262295895577944
origin.birthPlace[],10603,0.5262295895577944
origin.birthPlace[].meta,10603,0.5262295895577944
