predicate,records_with_predicate,meta_keys_observed
identity.nameVariant,33047,"{""names"": 32995, ""institutions"": 51, ""dates"": 17, ""titles"": 10, ""places"": 4, ""isComment"": 1}"
curriculum.grades,28890,"{""dates"": 20923, ""places"": 20270, ""institutions"": 87, ""names"": 38, ""titles"": 17}"
bibliography.workReferences,28502,"{""titles"": 2331, ""names"": 15, ""places"": 12, ""cotes"": 9, ""institutions"": 2, ""dates"": 1}"
bibliography.otherBases,22792,"{""titles"": 558, ""cotes"": 40, ""dates"": 10, ""names"": 10, ""places"": 3, ""institutions"": 1}"
curriculum.university,21002,"{""places"": 17230, ""dates"": 13324, ""institutions"": 6564, ""titles"": 21, ""names"": 14}"
identity.datesOfActivity,20293,"{""dates"": 20180, ""institutions"": 11, ""names"": 7, ""titles"": 2, ""isComment"": 1}"
identity.name,20209,"{""names"": 52}"
identity.gender,20149,"{""isComment"": 20149, ""isLink"": 20149}"
identity.status,20149,"{""dates"": 7, ""places"": 4, ""titles"": 1}"
identity.shortDescription,20038,"{""institutions"": 1046, ""places"": 391, ""names"": 42, ""dates"": 20, ""titles"": 4}"
bibliography.bookReferences,19910,"{""titles"": 19462, ""dates"": 13, ""names"": 9, ""institutions"": 8, ""places"": 6, ""cotes"": 2}"
ecclesiasticalCareer.secularPosition,19725,"{""institutions"": 18521, ""dates"": 17640, ""names"": 1946, ""titles"": 1562, ""places"": 637}"
origin.birthPlace,10639,"{""places"": 10324, ""institutions"": 157, ""names"": 4, ""dates"": 1, ""titles"": 1}"
identity.activityMediane,10382,"{""dates"": 10372, ""places"": 2}"
professionalCareer.universityFunction,9203,"{""places"": 8787, ""dates"": 8414, ""institutions"": 7165, ""names"": 915, ""titles"": 322, ""isComment"": 1}"
origin.diocese,9051,"{""institutions"": 8902, ""places"": 106, ""dates"": 13, ""names"": 9, ""titles"": 1}"
relationalInsertion.familyNetwork,5516,"{""names"": 5398, ""institutions"": 2325, ""dates"": 653, ""places"": 149, ""titles"": 111}"
curriculum.universityCollege,4993,"{""institutions"": 4428, ""dates"": 3300, ""places"": 1692, ""names"": 96, ""titles"": 17}"
relationalInsertion.studentProfessorRelationships,4574,"{""names"": 4548, ""dates"": 3529, ""institutions"": 305, ""places"": 120, ""titles"": 11}"
bibliography.workSources,3925,"{""titles"": 470, ""places"": 6, ""names"": 4, ""dates"": 2, ""cotes"": 1}"
ecclesiasticalCareer.ecclesiasticalStatus,3865,"{""institutions"": 2166, ""dates"": 1257, ""places"": 16, ""names"": 3, ""titles"": 2}"
identity.datesOfLife,3520,"{""dates"": 3513, ""institutions"": 1, ""names"": 1, ""places"": 1, ""isComment"": 1, ""titles"": 1}"
ecclesiasticalCareer.regularOrder,2970,"{""institutions"": 1318, ""dates"": 453, ""places"": 65, ""names"": 13, ""titles"": 2}"
ecclesiasticalCareer.regularFunctions,2469,"{""institutions"": 2272, ""dates"": 2111, ""places"": 198, ""names"": 84, ""titles"": 7}"
relationalInsertion.socialClassOrigin,1966,"{""institutions"": 133, ""names"": 32, ""places"": 20, ""dates"": 10}"
professionalCareer.representation,1515,"{""dates"": 1295, ""institutions"": 1034, ""places"": 633, ""names"": 572, ""titles"": 49}"
professionalCareer.royalAdministration,1189,"{""dates"": 821, ""institutions"": 773, ""names"": 212, ""places"": 54, ""titles"": 4}"
assets.parisHousing,1110,"{""dates"": 866, ""institutions"": 356, ""names"": 285, ""places"": 170, ""titles"": 89}"
travels.travels,1071,"{""places"": 1042, ""dates"": 821, ""institutions"": 122, ""names"": 96, ""titles"": 7}"
relationalInsertion.personalServicesRelationship,953,"{""names"": 898, ""institutions"": 498, ""dates"": 439, ""places"": 46, ""titles"": 13}"
ecclesiasticalCareer.otherFunctions,936,"{""institutions"": 861, ""dates"": 802, ""names"": 153, ""places"": 63, ""titles"": 15}"
textualProduction.religion,910,{}
ecclesiasticalCareer.popFunctions,848,"{""dates"": 461, ""names"": 184, ""institutions"": 154, ""places"": 113, ""titles"": 7}"
politicalCareer.justiceFacts,655,"{""dates"": 552, ""institutions"": 465, ""names"": 444, ""places"": 111, ""titles"": 29}"
professionalCareer.lawFunction,584,"{""dates"": 289, ""institutions"": 262, ""names"": 62, ""places"": 42, ""titles"": 4}"
professionalCareer.medicine,578,"{""dates"": 335, ""names"": 248, ""institutions"": 247, ""places"": 145}"
relationalInsertion.controversyOrDebates,573,"{""names"": 468, ""institutions"": 400, ""dates"": 313, ""titles"": 284, ""places"": 55}"
professionalCareer.professorOrPerceptor,546,"{""dates"": 418, ""institutions"": 304, ""places"": 241, ""names"": 48, ""titles"": 3}"
relationalInsertion.willExecutor,403,"{""names"": 396, ""dates"": 255, ""institutions"": 229, ""titles"": 13, ""places"": 11}"
politicalCareer.importantPosition,355,"{""institutions"": 266, ""dates"": 236, ""names"": 184, ""titles"": 24, ""places"": 16}"
textualProduction.philosophy,305,{}
professionalCareer.culturalFunction,279,"{""dates"": 138, ""institutions"": 34, ""names"": 21, ""places"": 19, ""titles"": 5}"
textualProduction.political,248,{}
relationalInsertion.friends,246,"{""names"": 243, ""institutions"": 83, ""dates"": 41, ""places"": 24, ""titles"": 13}"
textualProduction.history,227,{}
textualProduction.administrativePractice,210,"{""dates"": 1}"
textualProduction.science,210,{}
politicalCareer.jailed,191,"{""dates"": 153, ""institutions"": 112, ""names"": 92, ""places"": 57, ""titles"": 3}"
assets.gifts,190,"{""institutions"": 147, ""dates"": 68, ""places"": 59, ""names"": 35, ""titles"": 6}"
commissions.universityCommission,180,"{""dates"": 162, ""names"": 115, ""institutions"": 92, ""places"": 69, ""titles"": 40}"
relationalInsertion.memberOfGroups,173,"{""institutions"": 71, ""names"": 51, ""dates"": 31, ""places"": 24, ""titles"": 2}"
