reference,name,link,text_len
12000,THOMAS de Aquino,http://studium-parisiense.univ-paris1.fr/individus/12000-thomasdeaquino,921477
50875,AEGIDIUS Romanus,http://studium-parisiense.univ-paris1.fr/individus/50875-aegidiusromanus,344970
54530,HUGO de Sancto Victore,http://studium-parisiense.univ-paris1.fr/individus/54530-hugodesanctovictore,266786
1533,BONAVENTURA de Bagnoregio,http://studium-parisiense.univ-paris1.fr/individus/1533-bonaventuradebagnoregio,213028
385,ALBERTUS Magnus,http://studium-parisiense.univ-paris1.fr/individus/385-albertusmagnus,204686
58754,ROBERTUS Grosseteste,http://studium-parisiense.univ-paris1.fr/individus/58754-robertusgrosseteste,174624
51944,NICOLAUS de Lyra,http://studium-parisiense.univ-paris1.fr/individus/51944-nicolausdelyra,156589
52376,VINCENTIUS Belvacensis,http://studium-parisiense.univ-paris1.fr/individus/52376-vincentiusbelvacensis,138567
16804,ARNALDUS de Villanova,http://studium-parisiense.univ-paris1.fr/individus/16804-arnaldusdevillanova,137887
56805,PETRUS Lombardus,http://studium-parisiense.univ-paris1.fr/individus/56805-petruslombardus,131912
23409,GUILLELMUS Peraldus,http://studium-parisiense.univ-paris1.fr/individus/23409-guillelmusperaldus,129858
4925,HENRICUS de Langenstein,http://studium-parisiense.univ-paris1.fr/individus/4925-henricusdelangenstein,128980
2455,GALTERIUS Burley,http://studium-parisiense.univ-paris1.fr/individus/2455-galteriusburley,125282
21498,NICOLAUS Oresme,http://studium-parisiense.univ-paris1.fr/individus/21498-nicolausoresme,110374
2353,FRANCISCUS Villon,http://studium-parisiense.univ-paris1.fr/individus/2353-franciscusvillon,102467
11680,STEPHANUS Langton,http://studium-parisiense.univ-paris1.fr/individus/11680-stephanuslangton,89129
56834,PETRUS Comestor,http://studium-parisiense.univ-paris1.fr/individus/56834-petruscomestor,79940
22171,GALTERIUS de Castellione,http://studium-parisiense.univ-paris1.fr/individus/22171-galteriusdecastellione,77318
3630,GUILLELMUS de Moerbeke,http://studium-parisiense.univ-paris1.fr/individus/3630-guillelmusdemoerbeke,76802
253,ALANUS Chartier,http://studium-parisiense.univ-paris1.fr/individus/253-alanuschartier,76665
57982,PETRUS Abelardi,http://studium-parisiense.univ-paris1.fr/individus/57982-petrusabelardi,73260
56774,LOTHARIUS de Segni (INNOCENT III),http://studium-parisiense.univ-paris1.fr/individus/56774-lothariusdesegni(innocentiii),70703
51240,HUGO de Sancto Caro,http://studium-parisiense.univ-paris1.fr/individus/51240-hugodesanctocaro,70082
1313,BERNARDUS Guidonis,http://studium-parisiense.univ-paris1.fr/individus/1313-bernardusguidonis,68845
21496,GUILLELMUS de Ockham 2,http://studium-parisiense.univ-paris1.fr/individus/21496-guillelmusdeockham2,65055
476,ALEXANDER de Hales,http://studium-parisiense.univ-paris1.fr/individus/476-alexanderdehales,63784
56130,HENRICUS Beaufort,http://studium-parisiense.univ-paris1.fr/individus/56130-henricusbeaufort,62391
15201,SYMPHORIEN Champier,http://studium-parisiense.univ-paris1.fr/individus/15201-symphorienchampier,62330
