reference,name,link,activityMediane
13692,SIMON de Fouquereulles,/individus/13692-simondefouquereulles,7981.0
21593,GERARDUS Boniolis,/individus/21593-gerardusboniolis,7974.0
53059,GUILLELMUS Guerini,/individus/53059-guillelmusguerini,7702.0
50061,GUIDO de Calvomonte,/individus/50061-guidodecalvomonte,7393.0
51925,NICOLAUS Beyart,/individus/51925-nicolausbeyart,2221.0
54095,DURANDUS de Anglia,/individus/54095-durandusdeanglia,1099.0
55329,ANCELLUS,/individus/55329-ancellus,1096.0
54092,DROCO Gramaticus,/individus/54092-drocogramaticus,1092.0
52757,GALFREDUS Wintoniensis,/individus/52757-galfreduswintoniensis,1088.0
58667,MANEGOLDUS de Lautenbach,/individus/58667-manegoldusdelautenbach,1086.0
58668,MANEGOLDUS Magister,/individus/58668-manegoldusmagister,1085.0
58272,HERMANNUS 1,/individus/58272-hermannus1,1071.0
58270,HERBERTUS 1,/individus/58270-herbertus1,1070.0
58595,GEBHARDUS 1,/individus/58595-gebhardus1,1069.0
58585,ALTMANNUS de Passau,/individus/58585-altmannusdepassau,1062.0
50002,ADAM de Paris 1,/individus/50002-adamdeparis1,1059.0
58587,ADALBERTUS de Lambach,/individus/58587-adalbertusdelambach,1057.0
50932,ALBERTUS 1,/individus/50932-albertus1,1040.0
57989,LAMBERTUS 1,/individus/57989-lambertus1,1028.0
58773,OLBERTUS Gemblacensis,/individus/58773-olbertusgemblacensis,1024.0
53630,ROBERTUS Patricii,/individus/53630-robertuspatricii,932.0
18144,HUGO Prepositi 1,/individus/18144-hugoprepositi1,786.0
59694,THEODERICUS de Leidis,/individus/59694-theodericusdeleidis,715.0
