reference,name,link,path,type,start_year,end_year,start_len,end_len,start_out_of_bounds,end_out_of_bounds,interval_inverted
645,ANDREAS Garin,/individus/645-andreasgarin,curriculum.university[].meta,INTERVAL,2387.0,1403.0,4.0,4.0,1,0,1
16320,ARTHURUS Kaermerchon,/individus/16320-arthuruskaermerchon,identity.datesOfActivity[].meta,INTERVAL,1451.0,1445.0,4.0,4.0,0,0,1
687,ANDREAS Raleti,/individus/687-andreasraleti,identity.datesOfActivity[].meta,INTERVAL,1379.0,1378.0,4.0,4.0,0,0,1
259,ALANUS de Rupe,/individus/259-alanusderupe,professionalCareer.universityFunction[].meta,INTERVAL,1464.0,1462.0,4.0,4.0,0,0,1
53852,ASTORGIUS Glanderie,/individus/53852-astorgiusglanderie,ecclesiasticalCareer.secularPosition[].meta,INTERVAL,14487.0,1520.0,5.0,4.0,1,0,1
15674,ANTHONIUS Estournel,/individus/15674-anthoniusestournel,ecclesiasticalCareer.secularPosition[].meta,INTERVAL,1478.0,148.0,4.0,3.0,0,1,1
927,ARNALDUS de Halla,/individus/927-arnaldusdehalla,ecclesiasticalCareer.secularPosition[].meta,INTERVAL,1426.0,1417.0,4.0,4.0,0,0,1
15597,ALANUS Moing,/individus/15597-alanusmoing,identity.datesOfActivity[].meta,INTERVAL,1443.0,1433.0,4.0,4.0,0,0,1
22115,ALBERTUS de Antoing,/individus/22115-albertusdeantoing,ecclesiasticalCareer.secularPosition[].meta,INTERVAL,1262.0,1104.0,4.0,4.0,0,0,1
576,AMELIUS de Brolio,/individus/576-ameliusdebrolio,ecclesiasticalCareer.secularPosition[].meta,INTERVAL,1380.0,1375.0,4.0,4.0,0,0,1
576,AMELIUS de Brolio,/individus/576-ameliusdebrolio,ecclesiasticalCareer.secularPosition[].meta,INTERVAL,1394.0,395.0,4.0,3.0,0,1,1
8,ABSALON de Lund,/individus/8-absalondelund,travels.travels[].meta,INTERVAL,1158.0,11.0,4.0,2.0,0,1,1
17195,ADRIANUS de Pictavia,/individus/17195-adrianusdepictavia,ecclesiasticalCareer.secularPosition[].meta,INTERVAL,1451.0,1447.0,4.0,4.0,0,0,1
707,ANDREAS Zender de Zofingen,/individus/707-andreaszenderdezofingen,professionalCareer.lawFunction[].meta,INTERVAL,1497.0,1422.0,4.0,4.0,0,0,1
1533,BONAVENTURA de Bagnoregio,/individus/1533-bonaventuradebagnoregio,textualProduction.religion.opus[].dateAndPlace[].meta,INTERVAL,1253.0,54.0,4.0,2.0,0,1,1
16648,BRANDANUS I de Castiglione,/individus/16648-brandanusidecastiglione,professionalCareer.representation[].meta,INTERVAL,14111.0,1412.0,5.0,4.0,1,0,1
16648,BRANDANUS I de Castiglione,/individus/16648-brandanusidecastiglione,professionalCareer.representation[].meta,INTERVAL,1412.0,1313.0,4.0,4.0,0,0,1
54942,BARTHOLOMAEUS Munerii,/individus/54942-bartholomaeusmunerii,identity.datesOfActivity[].meta,INTERVAL,1476.0,1401.0,4.0,4.0,0,0,1
16730,CHRISTOPHORUS de Castello,/individus/16730-christophorusdecastello,identity.datesOfActivity[].meta,INTERVAL,1449.0,1444.0,4.0,4.0,0,0,1
1737,CONRADUS Bragkenheyn,/individus/1737-conradusbragkenheyn,curriculum.university[].meta,INTERVAL,1422.0,1412.0,4.0,4.0,0,0,1
1846,CHRISTIANUS de Ungaria,/individus/1846-christianusdeungaria,professionalCareer.universityFunction[].meta,INTERVAL,1486.0,1389.0,4.0,4.0,0,0,1
16714,CAROLUS Marescali,/individus/16714-carolusmarescali,identity.datesOfActivity[].meta,INTERVAL,1450.0,1446.0,4.0,4.0,0,0,1
58991,DURANDUS de Sancto Salvatore,/individus/58991-durandusdesanctosalvatore,ecclesiasticalCareer.popFunctions[].meta,INTERVAL,1336.0,1334.0,4.0,4.0,0,0,1
60263,EUCHARIUS Holzach,/individus/60263-euchariusholzach,curriculum.university[].meta,INTERVAL,1514.0,1506.0,4.0,4.0,0,0,1
53831,FLORENTIUS Ayni,/individus/53831-florentiusayni,ecclesiasticalCareer.secularPosition[].meta,INTERVAL,1374.0,1285.0,4.0,4.0,0,0,1
3702,GUILLELMUS Adeline,/individus/3702-guillelmusadeline,politicalCareer.justiceFacts[].meta,INTERVAL,1431.0,4.0,4.0,1.0,0,1,1
57379,GERARDUS Fagnion,/individus/57379-gerardusfagnion,curriculum.grades[].meta,INTERVAL,1456.0,1452.0,4.0,4.0,0,0,1
22059,GERARDUS Roullin,/individus/22059-gerardusroullin,identity.datesOfActivity[].meta,INTERVAL,1456.0,1451.0,4.0,4.0,0,0,1
2632,GALTERIUS de Marvis,/individus/2632-galteriusdemarvis,ecclesiasticalCareer.popFunctions[].meta,INTERVAL,12131.0,1233.0,5.0,4.0,1,0,1
25418,GUILLELMUS Brissonneti 2,/individus/25418-guillelmusbrissonneti2,ecclesiasticalCareer.secularPosition[].meta,INTERVAL,1516.0,1434.0,4.0,4.0,0,0,1
20398,GALFREDUS Kaerflous,/individus/20398-galfreduskaerflous,identity.datesOfActivity[].meta,INTERVAL,1464.0,1455.0,4.0,4.0,0,0,1
3606,GUILLELMUS de Falgario,/individus/3606-guillelmusdefalgario,ecclesiasticalCareer.popFunctions[].meta,INTERVAL,1387.0,1291.0,4.0,4.0,0,0,1
50887,GUIDO de Stampis 1,/individus/50887-guidodestampis1,identity.datesOfActivity[].meta,INTERVAL,1190.0,1135.0,4.0,4.0,0,0,1
2667,GALFREDUS de Vinosalvo,/individus/2667-galfredusdevinosalvo,textualProduction.philosophyExtended.opus[].dateAndPlace[].meta,INTERVAL,1191.0,98.0,4.0,2.0,0,1,1
3654,GUILLELMUS de Sancto Amore,/individus/3654-guillelmusdesanctoamore,textualProduction.political.opus[].dateAndPlace[].meta,INTERVAL,1255.0,56.0,4.0,2.0,0,1,1
2663,GALFREDUS de Eversley,/individus/2663-galfredusdeeversley,textualProduction.philosophyExtended.opus[].dateAndPlace[].meta,INTERVAL,1279.0,82.0,4.0,2.0,0,1,1
55914,GUILLELMUS de Besza,/individus/55914-guillelmusdebesza,professionalCareer.royalAdministration[].meta,INTERVAL,21404.0,1435.0,5.0,4.0,1,0,1
17781,GUILLELMUS de Deserto,/individus/17781-guillelmusdedeserto,ecclesiasticalCareer.secularPosition[].meta,INTERVAL,1445.0,1441.0,4.0,4.0,0,0,1
19541,GUILLELMUS Brisset,/individus/19541-guillelmusbrisset,curriculum.universityCollege[].meta,INTERVAL,1477.0,1471.0,4.0,4.0,0,0,1
51227,HANNIBALDUS de Hannibaldis,/individus/51227-hannibaldusdehannibaldis,textualProduction.religion.opus[].dateAndPlace[].meta,INTERVAL,1258.0,68.0,4.0,2.0,0,1,1
57616,HAIMERICUS de Campo,/individus/57616-haimericusdecampo,textualProduction.religion.opus[].dateAndPlace[].meta,INTERVAL,1434.0,1425.0,4.0,4.0,0,0,1
18144,HUGO Prepositi 1,/individus/18144-hugoprepositi1,identity.datesOfActivity[].meta,INTERVAL,1426.0,146.0,4.0,3.0,0,1,1
5161,HUGO Rogerii 1,/individus/5161-hugorogerii1,ecclesiasticalCareer.secularPosition[].meta,INTERVAL,11362.0,1363.0,5.0,4.0,1,0,1
16981,HILDUINUS,/individus/16981-hilduinus,ecclesiasticalCareer.secularPosition[].meta,INTERVAL,1180.0,119.0,4.0,3.0,0,1,1
23872,HENRICUS Sayn alias Jolis,/individus/23872-henricussaynaliasjolis,curriculum.university[].meta,INTERVAL,1454.0,1449.0,4.0,4.0,0,0,1
12410,IVO Alani,/individus/12410-ivoalani,curriculum.grades[].meta,INTERVAL,1378.0,1279.0,4.0,4.0,0,0,1
51248,MATTHAEUS Orsini 2,/individus/51248-matthaeusorsini2,ecclesiasticalCareer.secularPosition[].meta,INTERVAL,1327.0,1312.0,4.0,4.0,0,0,1
54723,MATTHAEUS Monete,/individus/54723-matthaeusmonete,ecclesiasticalCareer.otherFunctions[].meta,INTERVAL,1438.0,1432.0,4.0,4.0,0,0,1
51944,NICOLAUS de Lyra,/individus/51944-nicolausdelyra,textualProduction.religion.opus[].manuscrits[].meta,INTERVAL,1391.0,1390.0,4.0,4.0,0,0,1
51944,NICOLAUS de Lyra,/individus/51944-nicolausdelyra,textualProduction.religion.opus[].manuscrits[].meta,INTERVAL,1391.0,1390.0,4.0,4.0,0,0,1
57367,NICOLAUS Margue,/individus/57367-nicolausmargue,curriculum.universityCollege[].meta,INTERVAL,1429.0,1330.0,4.0,4.0,0,0,1
55963,NICOLAUS Acuti,/individus/55963-nicolausacuti,ecclesiasticalCareer.secularPosition[].meta,INTERVAL,1482.0,1463.0,4.0,4.0,0,0,1
55951,NICOLAUS de Origneyo,/individus/55951-nicolausdeorigneyo,identity.datesOfActivity[].meta,INTERVAL,1485.0,1435.0,4.0,4.0,0,0,1
54555,NICOLAUS Lehuchier,/individus/54555-nicolauslehuchier,ecclesiasticalCareer.regularFunctions[].meta,INTERVAL,1462.0,1458.0,4.0,4.0,0,0,1
58418,NICOLAUS de Gorran,/individus/58418-nicolausdegorran,curriculum.universityCollege[].meta,INTERVAL,12870.0,1295.0,5.0,4.0,1,0,1
55892,OUDINETUS Hucheret,/individus/55892-oudinetushucheret,curriculum.university[].meta,INTERVAL,1455.0,1446.0,4.0,4.0,0,0,1
55890,ODO de Bournensa,/individus/55890-ododebournensa,curriculum.university[].meta,INTERVAL,1455.0,1446.0,4.0,4.0,0,0,1
52441,PETRUS Sylvestris 2,/individus/52441-petrussylvestris2,professionalCareer.townAdministrator[].meta,INTERVAL,1436.0,1431.0,4.0,4.0,0,0,1
51576,PETRUS Poitevin,/individus/51576-petruspoitevin,curriculum.grades[].meta,INTERVAL,1468.0,171.0,4.0,3.0,0,1,1
56506,PETRUS de Cruce,/individus/56506-petrusdecruce,textualProduction.music.opus[].editionBefore1700[].meta,INTERVAL,1935.0,36.0,4.0,2.0,1,1,1
13603,PETRUS Guillelmi de Vireyo,/individus/13603-petrusguillelmidevireyo,curriculum.universityCollege[].meta,INTERVAL,14521.0,1453.0,5.0,4.0,1,0,1
52439,PETRUS de Tornodoro,/individus/52439-petrusdetornodoro,ecclesiasticalCareer.secularPosition[].meta,INTERVAL,1378.0,1.0,4.0,1.0,0,1,1
52963,PETRUS Courel,/individus/52963-petruscourel,curriculum.grades[].meta,INTERVAL,1458.0,1364.0,4.0,4.0,0,0,1
58643,PHILIPPUS de Castilla,/individus/58643-philippusdecastilla,politicalCareer.importantPosition[].meta,INTERVAL,1272.0,1261.0,4.0,4.0,0,0,1
56436,PETRUS de Forgis 2,/individus/56436-petrusdeforgis2,identity.datesOfActivity[].meta,INTERVAL,1426.0,1409.0,4.0,4.0,0,0,1
52947,PETRUS Tesson 1,/individus/52947-petrustesson1,professionalCareer.royalAdministration[].meta,INTERVAL,1312.0,1229.0,4.0,4.0,0,0,1
58759,PETRUS Philomena de Dacia,/individus/58759-petrusphilomenadedacia,curriculum.university[].meta,INTERVAL,1393.0,1300.0,4.0,4.0,0,0,1
15353,RICARDUS de Mores,/individus/15353-ricardusdemores,curriculum.university[].meta,INTERVAL,1196.0,1191.0,4.0,4.0,0,0,1
53630,ROBERTUS Patricii,/individus/53630-robertuspatricii,identity.datesOfActivity[].meta,INTERVAL,1431.0,434.0,4.0,3.0,0,1,1
58134,ROGARIUS Arnaudi,/individus/58134-rogariusarnaudi,identity.datesOfActivity[].meta,INTERVAL,1437.0,1432.0,4.0,4.0,0,0,1
10659,REGINALDUS Nobilis de Fontanis,/individus/10659-reginaldusnobilisdefontanis,relationalInsertion.familyNetwork[].meta,INTERVAL,1434.0,14.0,4.0,2.0,0,1,1
51516,SIMON Lentis,/individus/51516-simonlentis,textualProduction.manyFields.opus[].dateAndPlace[].meta,INTERVAL,1294.0,95.0,4.0,2.0,0,1,1
58644,SANCIUS de Castilla,/individus/58644-sanciusdecastilla,politicalCareer.importantPosition[].meta,INTERVAL,1269.0,1261.0,4.0,4.0,0,0,1
58074,STEPHANUS Majoris,/individus/58074-stephanusmajoris,professionalCareer.universityFunction[].meta,INTERVAL,1439.0,1430.0,4.0,4.0,0,0,1
57535,SIGERUS de Brabancio,/individus/57535-sigerusdebrabancio,textualProduction.philosophy.opus[].dateAndPlace[].meta,INTERVAL,1273.0,75.0,4.0,2.0,0,1,1
57535,SIGERUS de Brabancio,/individus/57535-sigerusdebrabancio,textualProduction.science.opus[].dateAndPlace[].meta,INTERVAL,1265.0,70.0,4.0,2.0,0,1,1
57535,SIGERUS de Brabancio,/individus/57535-sigerusdebrabancio,textualProduction.discussedScience.opus[].dateAndPlace[].meta,INTERVAL,1275.0,77.0,4.0,2.0,0,1,1
58645,SANCIUS de Castilla,/individus/58645-sanciusdecastilla,politicalCareer.importantPosition[].meta,INTERVAL,1269.0,1261.0,4.0,4.0,0,0,1
12000,THOMAS de Aquino,/individus/12000-thomasdeaquino,textualProduction.discussedPhilosophy.opus[].manuscrits[].meta,INTERVAL,2393.0,1394.0,4.0,4.0,1,0,1
59746,THEODERICUS Kistemaker,/individus/59746-theodericuskistemaker,curriculum.university[].meta,INTERVAL,1453.0,1428.0,4.0,4.0,0,0,1
58658,THOMAS Mielle,/individus/58658-thomasmielle,curriculum.grades[].meta,INTERVAL,1367.0,371.0,4.0,3.0,0,1,1
59745,THEODERICUS Simonis,/individus/59745-theodericussimonis,curriculum.university[].meta,INTERVAL,1453.0,1428.0,4.0,4.0,0,0,1
53869,THOMAS Girou,/individus/53869-thomasgirou,ecclesiasticalCareer.otherFunctions[].meta,INTERVAL,1498.0,1420.0,4.0,4.0,0,0,1
