reference,name,link,path,type,start_year,end_year,start_len,end_len,start_out_of_bounds,end_out_of_bounds,interval_inverted
53852,ASTORGIUS Glanderie,/individus/53852-astorgiusglanderie,ecclesiasticalCareer.secularPosition[].meta,INTERVAL,14487.0,1520.0,5.0,4.0,1,0,1
16648,BRANDANUS I de Castiglione,/individus/16648-brandanusidecastiglione,professionalCareer.representation[].meta,INTERVAL,14111.0,1412.0,5.0,4.0,1,0,1
2632,GALTERIUS de Marvis,/individus/2632-galteriusdemarvis,ecclesiasticalCareer.popFunctions[].meta,INTERVAL,12131.0,1233.0,5.0,4.0,1,0,1
55914,GUILLELMUS de Besza,/individus/55914-guillelmusdebesza,professionalCareer.royalAdministration[].meta,INTERVAL,21404.0,1435.0,5.0,4.0,1,0,1
5161,HUGO Rogerii 1,/individus/5161-hugorogerii1,ecclesiasticalCareer.secularPosition[].meta,INTERVAL,11362.0,1363.0,5.0,4.0,1,0,1
58418,NICOLAUS de Gorran,/individus/58418-nicolausdegorran,curriculum.universityCollege[].meta,INTERVAL,12870.0,1295.0,5.0,4.0,1,0,1
13603,PETRUS Guillelmi de Vireyo,/individus/13603-petrusguillelmidevireyo,curriculum.universityCollege[].meta,INTERVAL,14521.0,1453.0,5.0,4.0,1,0,1
55355,GEORGIUS de Vico,/individus/55355-georgiusdevico,ecclesiasticalCareer.secularPosition[].meta,INTERVAL,14621.0,,5.0,,1,0,0
50949,ARTHURUS de Bourbon,/individus/50949-arthurusdebourbon,ecclesiasticalCareer.secularPosition[].meta,INTERVAL,1465.0,14741.0,4.0,5.0,0,1,0
21593,GERARDUS Boniolis,/individus/21593-gerardusboniolis,identity.datesOfActivity[].meta,INTERVAL,1447.0,14501.0,4.0,5.0,0,1,0
53059,GUILLELMUS Guerini,/individus/53059-guillelmusguerini,identity.datesOfActivity[].meta,INTERVAL,1383.0,14021.0,4.0,5.0,0,1,0
50061,GUIDO de Calvomonte,/individus/50061-guidodecalvomonte,identity.datesOfActivity[].meta,INTERVAL,1316.0,13471.0,4.0,5.0,0,1,0
23848,HENRICUS Roussel,/individus/23848-henricusroussel,professionalCareer.lawFunction[].meta,INTERVAL,1425.0,14444.0,4.0,5.0,0,1,0
23848,HENRICUS Roussel,/individus/23848-henricusroussel,professionalCareer.lawFunction[].meta,INTERVAL,1427.0,14440.0,4.0,5.0,0,1,0
55074,MATHURINUS Huelly,/individus/55074-mathurinushuelly,ecclesiasticalCareer.secularPosition[].meta,INTERVAL,1475.0,14520.0,4.0,5.0,0,1,0
13692,SIMON de Fouquereulles,/individus/13692-simondefouquereulles,identity.datesOfActivity[].meta,INTERVAL,1456.0,14507.0,4.0,5.0,0,1,0
52341,THOMAS de Sarnaco,/individus/52341-thomasdesarnaco,ecclesiasticalCareer.secularPosition[].meta,INTERVAL,1310.0,12343.0,4.0,5.0,0,1,0
15674,ANTHONIUS Estournel,/individus/15674-anthoniusestournel,ecclesiasticalCareer.secularPosition[].meta,INTERVAL,1478.0,148.0,4.0,3.0,0,1,1
576,AMELIUS de Brolio,/individus/576-ameliusdebrolio,ecclesiasticalCareer.secularPosition[].meta,INTERVAL,1394.0,395.0,4.0,3.0,0,1,1
18144,HUGO Prepositi 1,/individus/18144-hugoprepositi1,identity.datesOfActivity[].meta,INTERVAL,1426.0,146.0,4.0,3.0,0,1,1
16981,HILDUINUS,/individus/16981-hilduinus,ecclesiasticalCareer.secularPosition[].meta,INTERVAL,1180.0,119.0,4.0,3.0,0,1,1
51576,PETRUS Poitevin,/individus/51576-petruspoitevin,curriculum.grades[].meta,INTERVAL,1468.0,171.0,4.0,3.0,0,1,1
53630,ROBERTUS Patricii,/individus/53630-robertuspatricii,identity.datesOfActivity[].meta,INTERVAL,1431.0,434.0,4.0,3.0,0,1,1
58658,THOMAS Mielle,/individus/58658-thomasmielle,curriculum.grades[].meta,INTERVAL,1367.0,371.0,4.0,3.0,0,1,1
8,ABSALON de Lund,/individus/8-absalondelund,travels.travels[].meta,INTERVAL,1158.0,11.0,4.0,2.0,0,1,1
