reference,name,link,path,type,start_year,end_year,start_len,end_len,start_out_of_bounds,end_out_of_bounds,interval_inverted
55329,ANCELLUS,/individus/55329-ancellus,identity.datesOfActivity[].meta,INTERVAL,1084.0,1109.0,4.0,4.0,1,0,0
55329,ANCELLUS,/individus/55329-ancellus,curriculum.grades[].meta,INTERVAL,1084.0,1088.0,4.0,4.0,1,1,0
645,ANDREAS Garin,/individus/645-andreasgarin,curriculum.university[].meta,INTERVAL,2387.0,1403.0,4.0,4.0,1,0,1
50932,ALBERTUS 1,/individus/50932-albertus1,identity.datesOfActivity[].meta,INTERVAL,1040.0,1040.0,4.0,4.0,1,1,0
58587,ADALBERTUS de Lambach,/individus/58587-adalbertusdelambach,identity.datesOfActivity[].meta,INTERVAL,1030.0,1085.0,4.0,4.0,1,1,0
58587,ADALBERTUS de Lambach,/individus/58587-adalbertusdelambach,ecclesiasticalCareer.secularPosition[].meta,INTERVAL,1045.0,1085.0,4.0,4.0,1,1,0
58585,ALTMANNUS de Passau,/individus/58585-altmannusdepassau,identity.datesOfActivity[].meta,INTERVAL,1035.0,1090.0,4.0,4.0,1,1,0
58585,ALTMANNUS de Passau,/individus/58585-altmannusdepassau,ecclesiasticalCareer.secularPosition[].meta,INTERVAL,1066.0,1090.0,4.0,4.0,1,1,0
498,ALEXANDER de Abercrumby,/individus/498-alexanderdeabercrumby,relationalInsertion.studentProfessorRelationships[].meta,INTERVAL,344.0,1345.0,3.0,4.0,1,0,0
53852,ASTORGIUS Glanderie,/individus/53852-astorgiusglanderie,ecclesiasticalCareer.secularPosition[].meta,INTERVAL,14487.0,1520.0,5.0,4.0,1,0,1
50002,ADAM de Paris 1,/individus/50002-adamdeparis1,identity.datesOfActivity[].meta,INTERVAL,1059.0,1060.0,4.0,4.0,1,1,0
50002,ADAM de Paris 1,/individus/50002-adamdeparis1,textualProduction.music.opus[].dateAndPlace[].meta,INTERVAL,1059.0,1060.0,4.0,4.0,1,1,0
