path,count,coverage,types
_id,20149,1.0,{'str': 20149}
extras,20149,1.0,{'dict': 20149}
identity,20149,1.0,{'dict': 20149}
identity.gender[],20149,1.0,"{'list': 20149, 'dict': 20149}"
identity.gender[].meta,20149,1.0,{'dict': 20149}
identity.gender[].meta.isComment,20149,1.0,{'bool': 20149}
identity.gender[].meta.isLink,20149,1.0,{'bool': 20149}
identity.gender[].value,20149,1.0,{'str': 20149}
identity.name[],20149,1.0,"{'list': 20149, 'dict': 20209}"
identity.name[].meta,20149,1.0,{'dict': 20209}
identity.name[].value,20149,1.0,{'str': 20209}
link,20149,1.0,{'str': 20149}
raw[],20149,1.0,"{'list': 20149, 'str': 721038}"
reference,20149,1.0,{'str': 20149}
title,20149,1.0,{'str': 20149}
identity.status[],20147,0.9999007394907936,"{'list': 20147, 'dict': 20149}"
identity.status[].meta,20147,0.9999007394907936,{'dict': 20149}
identity.status[].value,20147,0.9999007394907936,{'str': 20149}
bibliography,20127,0.9989081343987295,{'dict': 20127}
identity.datesOfActivity[],20125,0.9988088738895231,"{'list': 20125, 'dict': 20293}"
identity.datesOfActivity[].meta,20125,0.9988088738895231,{'dict': 20293}
identity.datesOfActivity[].value,20125,0.9988088738895231,{'str': 20293}
identity.datesOfActivity[].meta.dates[],20119,0.9985110923619038,"{'list': 20180, 'dict': 20170}"
identity.datesOfActivity[].meta.dates[].type,20117,0.9984118318526974,{'str': 20170}
identity.datesOfActivity[].meta.dates[].endDate,20111,0.9981140503250782,"{'dict': 20102, 'NoneType': 20}"
identity.datesOfActivity[].meta.dates[].startDate,20111,0.9981140503250782,{'dict': 20122}
identity.datesOfActivity[].meta.dates[].startDate.date,20111,0.9981140503250782,{'int': 20122}
identity.datesOfActivity[].meta.dates[].startDate.type,20111,0.9981140503250782,{'str': 20122}
identity.nameVariant[],20106,0.9978658990520621,"{'list': 20106, 'dict': 33047}"
identity.nameVariant[].meta,20106,0.9978658990520621,{'dict': 33047}
identity.nameVariant[].value,20106,0.9978658990520621,{'str': 33047}
identity.datesOfActivity[].meta.dates[].endDate.date,20091,0.997121445233014,{'int': 20102}
identity.datesOfActivity[].meta.dates[].endDate.type,20091,0.997121445233014,{'str': 20102}
identity.nameVariant[].meta.names[],20088,0.9969725544692044,"{'list': 32995, 'str': 33021}"
extras.activityMediane,20045,0.9948384535212665,{'int': 20045}
identity.shortDescription[],20004,0.9928036130825351,"{'list': 20004, 'dict': 20038}"
identity.shortDescription[].meta,20004,0.9928036130825351,{'dict': 20038}
identity.shortDescription[].value,20004,0.9928036130825351,{'str': 20038}
bibliography.otherBases[],19682,0.9768226711003027,"{'list': 19682, 'dict': 22792}"
bibliography.otherBases[].meta,19682,0.9768226711003027,{'dict': 22792}
bibliography.otherBases[].value,19682,0.9768226711003027,{'str': 22792}
curriculum,19614,0.9734478137872847,{'dict': 19614}
curriculum.university[],19467,0.9661521663606134,"{'list': 19467, 'dict': 21002}"
curriculum.university[].meta,19467,0.9661521663606134,{'dict': 21002}
curriculum.university[].value,19467,0.9661521663606134,{'str': 21002}
curriculum.grades[],18773,0.9317087696659884,"{'list': 18773, 'dict': 28890}"
curriculum.grades[].meta,18773,0.9317087696659884,{'dict': 28890}
curriculum.grades[].value,18773,0.9317087696659884,{'str': 28890}
bibliography.workReferences[],16857,0.8366172018462454,"{'list': 16857, 'dict': 28502}"
bibliography.workReferences[].meta,16857,0.8366172018462454,{'dict': 28502}
bibliography.workReferences[].value,16857,0.8366172018462454,{'str': 28502}
curriculum.university[].meta.places[],15762,0.7822720730557348,"{'list': 17230, 'str': 17249}"
identity.nameVariant[].reference[],13753,0.6825648915578937,"{'list': 20095, 'str': 20883}"
curriculum.grades[].reference[],13319,0.6610253610601022,"{'list': 21091, 'str': 23794}"
curriculum.grades[].meta.places[],12640,0.6273264181845253,"{'list': 20270, 'str': 20298}"
curriculum.university[].meta.dates[],12431,0.6169536949724552,"{'list': 13324, 'dict': 13359}"
curriculum.university[].meta.dates[].type,12410,0.6159114596257879,{'str': 13359}
curriculum.grades[].meta.dates[],12386,0.614720333515311,"{'list': 20923, 'dict': 20923}"
curriculum.grades[].meta.dates[].type,12351,0.6129832746041988,{'str': 20923}
curriculum.grades[].meta.dates[].date,11577,0.5745694575413172,"{'int': 19569, 'NoneType': 3}"
origin,11193,0.555511439773686,{'dict': 11193}
ecclesiasticalCareer,10924,0.5421609012854236,{'dict': 10924}
origin.birthPlace[],10603,0.5262295895577944,"{'list': 10603, 'dict': 10639}"
origin.birthPlace[].meta,10603,0.5262295895577944,{'dict': 10639}
origin.birthPlace[].value,10603,0.5262295895577944,{'str': 10639}
identity.activityMediane[],10381,0.5152116730358827,"{'list': 10381, 'dict': 10382}"
identity.activityMediane[].meta,10381,0.5152116730358827,{'dict': 10382}
identity.activityMediane[].value,10381,0.5152116730358827,{'str': 10382}
identity.activityMediane[].meta.dates[],10372,0.5147650007444539,"{'list': 10372, 'dict': 10368}"
identity.activityMediane[].meta.dates[].type,10367,0.5145168494714378,{'str': 10368}
identity.activityMediane[].meta.dates[].date,10365,0.5144175889622313,"{'int': 10365, 'NoneType': 1}"
origin.birthPlace[].meta.places[],10316,0.5119857064866743,"{'list': 10324, 'str': 14374}"
origin.diocese[],8992,0.4462752493920294,"{'list': 8992, 'dict': 9051}"
origin.diocese[].meta,8992,0.4462752493920294,{'dict': 9051}
origin.diocese[].value,8992,0.4462752493920294,{'str': 9051}
origin.diocese[].meta.institutions[],8865,0.4399722070574222,"{'list': 8902, 'str': 8908}"
