path,count,coverage,types
_id,20149,1.0,{'str': 20149}
identity.gender[].meta.isComment,20149,1.0,{'bool': 20149}
identity.gender[].meta.isLink,20149,1.0,{'bool': 20149}
identity.gender[].value,20149,1.0,{'str': 20149}
identity.name[].value,20149,1.0,{'str': 20209}
link,20149,1.0,{'str': 20149}
raw[],20149,1.0,{'str': 721038}
reference,20149,1.0,{'str': 20149}
title,20149,1.0,{'str': 20149}
identity.status[].value,20147,0.9999007394907936,{'str': 20149}
identity.datesOfActivity[].value,20125,0.9988088738895231,{'str': 20293}
identity.datesOfActivity[].meta.dates[].type,20117,0.9984118318526974,{'str': 20170}
identity.datesOfActivity[].meta.dates[].startDate.date,20111,0.9981140503250782,{'int': 20122}
identity.datesOfActivity[].meta.dates[].startDate.type,20111,0.9981140503250782,{'str': 20122}
identity.nameVariant[].value,20106,0.9978658990520621,{'str': 33047}
identity.datesOfActivity[].meta.dates[].endDate.date,20091,0.997121445233014,{'int': 20102}
identity.datesOfActivity[].meta.dates[].endDate.type,20091,0.997121445233014,{'str': 20102}
identity.nameVariant[].meta.names[],20088,0.9969725544692044,{'str': 33021}
extras.activityMediane,20045,0.9948384535212665,{'int': 20045}
identity.shortDescription[].value,20004,0.9928036130825351,{'str': 20038}
bibliography.otherBases[].value,19682,0.9768226711003027,{'str': 22792}
curriculum.university[].value,19467,0.9661521663606134,{'str': 21002}
curriculum.grades[].value,18773,0.9317087696659884,{'str': 28890}
bibliography.workReferences[].value,16857,0.8366172018462454,{'str': 28502}
curriculum.university[].meta.places[],15762,0.7822720730557348,{'str': 17249}
identity.nameVariant[].reference[],13753,0.6825648915578937,{'str': 20883}
curriculum.grades[].reference[],13319,0.6610253610601022,{'str': 23794}
curriculum.grades[].meta.places[],12640,0.6273264181845253,{'str': 20298}
curriculum.university[].meta.dates[].type,12410,0.6159114596257879,{'str': 13359}
curriculum.grades[].meta.dates[].type,12351,0.6129832746041988,{'str': 20923}
curriculum.grades[].meta.dates[].date,11577,0.5745694575413172,"{'int': 19569, 'NoneType': 3}"
origin.birthPlace[].value,10603,0.5262295895577944,{'str': 10639}
identity.activityMediane[].value,10381,0.5152116730358827,{'str': 10382}
identity.activityMediane[].meta.dates[].type,10367,0.5145168494714378,{'str': 10368}
identity.activityMediane[].meta.dates[].date,10365,0.5144175889622313,"{'int': 10365, 'NoneType': 1}"
