issue,count,examples
textualProduction.religion:not_list,910,"[{""reference"": ""134"", ""type"": ""dict"", ""preview"": ""{'value': 'Auteur actif dans le champ religieux :', 'meta': {}, 'opus': [{'title': [{'value': '&[Sermon pour la Nativité de la Sainte Vierge]&', 'meta': {'titles': ['[Sermon pour la Nativité de la Sai""}, {""reference"": ""9"", ""type"": ""dict"", ""preview"": ""{'value': 'Auteur actif dans le champ religieux :', 'meta': {}, 'opus': [{'title': [{'value': '&Sermones (51)&', 'meta': {'titles': ['Sermones (51)']}}], 'dateAndPlace': [{'value': '?', 'meta': {}}], ""}, {""reference"": ""607"", ""type"": ""dict"", ""preview"": ""{'value': 'Auteur actif dans le champ religieux :', 'meta': {}, 'opus': [{'title': [{'value': '&Sermon pour le troisième dimanche de Carême&', 'meta': {'titles': ['Sermon pour le troisième dimanche de""}, {""reference"": ""275"", ""type"": ""dict"", ""preview"": ""{'value': 'Auteur actif dans le domaine religieux :', 'meta': {}, 'opus': [{'title': [{'value': '&Quodlibet&', 'meta': {'titles': ['Quodlibet']}}], 'dateAndPlace': [{'value': '?', 'meta': {}}], 'manus""}, {""reference"": ""553"", ""type"": ""dict"", ""preview"": ""{'value': 'Auteur actif dans le champ religieux.', 'meta': {}, 'opus': [{'title': [{'value': '&Quaestiones disputatae 17&', 'meta': {'titles': ['Quaestiones disputatae 17']}}], 'dateAndPlace': [{'valu""}]"
textualProduction.philosophy:not_list,305,"[{""reference"": ""134"", ""type"": ""dict"", ""preview"": ""{'value': 'Auteur actif dans le champ philosophique :', 'meta': {}, 'opus': [{'title': [{'value': '&Notulae super librum Topicorum& (R.1 et R.2)', 'meta': {'titles': ['Notulae super librum Topicorum']""}, {""reference"": ""752"", ""type"": ""dict"", ""preview"": ""{'value': 'Auteur actif dans le champ philosophique :', 'meta': {}, 'opus': [{'title': [{'value': '&Sententia libri Topicorum&', 'meta': {'titles': ['Sententia libri Topicorum']}}], 'titleVariant': [{""}, {""reference"": ""763"", ""type"": ""dict"", ""preview"": ""{'value': 'Auteur actif dans le champ philosophique :', 'meta': {}, 'opus': [{'title': [{'value': '&Quodlibetum&', 'meta': {'titles': ['Quodlibetum']}}], 'dateAndPlace': [{'value': '%1335% (Bologne)',""}, {""reference"": ""152"", ""type"": ""dict"", ""preview"": ""{'value': 'Auteur actif dans le champ philosophique :', 'meta': {}, 'opus': [{'title': [{'value': '&In Boethium de consolatione philosophiae&', 'meta': {'titles': ['In Boethium de consolatione philoso""}, {""reference"": ""482"", ""type"": ""dict"", ""preview"": ""{'value': 'Auteur actif dans le champ philosophique :', 'meta': {}, 'opus': [{'title': [{'value': '&In lib. Priorum Anayticorum&', 'meta': {'titles': ['In lib. Priorum Anayticorum']}}], 'dateAndPlace'""}]"
textualProduction.political:not_list,248,"[{""reference"": ""482"", ""type"": ""dict"", ""preview"": ""{'value': 'Auteur actif dans le champ politique :', 'meta': {}, 'opus': [{'title': [{'value': '&Epitome librorum S. Augustini de Civitate Dei&', 'meta': {'titles': ['Epitome librorum S. Augustini de C""}, {""reference"": ""50984"", ""type"": ""dict"", ""preview"": ""{'value': 'Auteur ocasionel :', 'meta': {}, 'opus': [{'title': [{'value': '&(Discours prononcé devant Urbain V)&', 'meta': {'titles': ['(Discours prononcé devant Urbain V)']}}], 'dateAndPlace': [{'val""}, {""reference"": ""385"", ""type"": ""dict"", ""preview"": ""{'value': 'Auteur actif dans le champ politique :', 'meta': {}, 'opus': [{'title': [{'value': '&Ethica 1&', 'meta': {'titles': ['Ethica 1']}}], 'dateAndPlace': [{'value': '%1248-1252% à Cologne ;', 'm""}, {""reference"": ""210"", ""type"": ""dict"", ""preview"": ""{'value': 'Auteur actif dans le domaine politique.', 'meta': {}, 'opus': [{'title': [{'value': '&De Ostensione Veritatis&', 'meta': {'titles': ['De Ostensione Veritatis']}}], 'dateAndPlace': [{'value'""}, {""reference"": ""3119"", ""type"": ""dict"", ""preview"": ""{'value': 'Auteur actif dans le champ politique :', 'meta': {}, 'opus': [{'title': [{'value': '&Ierapigra ad purgandos praelatos&', 'meta': {'titles': ['Ierapigra ad purgandos praelatos']}}], 'dateAnd""}]"
textualProduction.history:not_list,227,"[{""reference"": ""172"", ""type"": ""dict"", ""preview"": ""{'value': 'Auteur actif dans le champ historique :', 'meta': {}, 'opus': [{'title': [{'value': '&Liber de legationibus concilii Basiliensis pro reductione Bohemorum&', 'meta': {'titles': ['Liber de le""}, {""reference"": ""15556"", ""type"": ""dict"", ""preview"": ""{'value': 'Auteur actif dans le champ historique (hagiographie) :', 'meta': {}, 'opus': [{'title': [{'value': '&Magna Vita Hugonis&', 'meta': {'titles': ['Magna Vita Hugonis']}}], 'dateAndPlace': [{'v""}, {""reference"": ""15484"", ""type"": ""dict"", ""preview"": ""{'value': 'Auteur actif dans le champ historique :', 'meta': {}, 'opus': [{'title': [{'value': '&Tractatus primus&', 'meta': {'titles': ['Tractatus primus']}}], 'titleVariant': [{'value': '&Tractatus ""}, {""reference"": ""385"", ""type"": ""dict"", ""preview"": ""{'value': 'Auteur actif dans le champ historique (géographie) :', 'meta': {}, 'opus': [{'title': [{'value': '&De natura locorum&', 'meta': {'titles': ['De natura locorum']}}], 'dateAndPlace': [{'value""}, {""reference"": ""154"", ""type"": ""dict"", ""preview"": ""{'value': 'Chroniqueur :', 'meta': {}, 'opus': [{'title': [{'value': '&Supplementum chronici magistri Aegidii a Roya et Bartholomei de Beca, religiosorum Dunensium, ab anno 1463 ad annum 1478&', 'meta""}]"
textualProduction.administrativePractice:not_list,210,"[{""reference"": ""55329"", ""type"": ""dict"", ""preview"": ""{'value': 'Auteur actif dans le domaine pragmatique :', 'meta': {}, 'opus': [{'title': [{'value': '&Epistola&', 'meta': {'titles': ['Epistola']}}], 'dateAndPlace': [{'value': '%1108%.', 'meta': {'date""}, {""reference"": ""1091"", ""type"": ""dict"", ""preview"": ""{'value': 'Actif dans le domaine des actes de la pratique:', 'meta': {}, 'opus': [{'title': [{'value': '&(Mémoire justificatif)&', 'meta': {'titles': ['(Mémoire justificatif)']}}], 'dateAndPlace': [{'""}, {""reference"": ""51660"", ""type"": ""dict"", ""preview"": ""{'value': 'Auteur actif dans le champ pratique :', 'meta': {}, 'opus': [{'title': [{'value': '&(Constitutions de l’ordre des Trinitaires)&', 'meta': {'titles': ['(Constitutions de l’ordre des Trinitai""}, {""reference"": ""53476"", ""type"": ""dict"", ""preview"": ""{'value': 'Textes et documents de la pratique administrative:', 'meta': {}, 'opus': [{'title': [{'value': '(Diplômes, Instructions et Règlements)', 'meta': {}, 'comment': ['    /Actes copiés et inséré""}, {""reference"": ""741"", ""type"": ""dict"", ""preview"": ""{'value': 'Documents de la pratique :', 'meta': {}, 'opus': [{'title': [{'value': '&Constitutiones synodales I&', 'meta': {'titles': ['Constitutiones synodales I']}}], 'dateAndPlace': [{'value': '%137""}]"
textualProduction.science:not_list,210,"[{""reference"": ""16804"", ""type"": ""dict"", ""preview"": ""{'value': 'Auteur actif dans le champ scientifique :', 'meta': {}, 'opus': [{'title': [{'value': '&De humido radicali&', 'meta': {'titles': ['De humido radicali']}}], 'dateAndPlace': [{'value': '?', '""}, {""reference"": ""385"", ""type"": ""dict"", ""preview"": ""{'value': 'Auteur actif dans le champ scientifique :', 'meta': {}, 'opus': [{'title': [{'value': '&Liber Physicorum&', 'meta': {'titles': ['Liber Physicorum']}}], 'titleVariant': [{'value': '&Physica&""}, {""reference"": ""833"", ""type"": ""dict"", ""preview"": ""{'value': 'Auteur actif dans le champ scientifique :', 'meta': {}, 'opus': [{'title': [{'value': \""&Questio disputata 'Utrum primum principium sive Deus'&\"", 'meta': {'titles': [\""Questio disputata 'Utru""}, {""reference"": ""487"", ""type"": ""dict"", ""preview"": ""{'value': 'Auteur dans le champ scientifique :', 'meta': {}, 'opus': [{'title': [{'value': '&Massa compoti&', 'meta': {'titles': ['Massa compoti']}}], 'titleVariant': [{'value': '&Compotus ecclesiasti""}, {""reference"": ""551"", ""type"": ""dict"", ""preview"": ""{'value': 'Auteur actif dans le champ scientifique:', 'meta': {}, 'opus': [{'title': [{'value': '&In lib. Averrois De substantia orbis, comm.&', 'meta': {'titles': ['In lib. Averrois De substantia orb""}]"
textualProduction.philosophyExtended:not_list,152,"[{""reference"": ""476"", ""type"": ""dict"", ""preview"": ""{'value': 'Œuvres rejetées dans le champ grammatical :', 'meta': {}, 'opus': [{'title': [{'value': '&Exoticon&', 'meta': {'titles': ['Exoticon']}}], 'dateAndPlace': [{'value': '?', 'meta': {}}], 'lang""}, {""reference"": ""17153"", ""type"": ""dict"", ""preview"": ""{'value': 'Auteur actif dans le champ philologique :', 'meta': {}, 'opus': [{'title': [{'value': '&Ars dictandi&', 'meta': {'titles': ['Ars dictandi']}}], 'dateAndPlace': [{'value': '?', 'meta': {}}],""}, {""reference"": ""487"", ""type"": ""dict"", ""preview"": ""{'value': 'Auteur actif dans le champ philologique :', 'meta': {}, 'opus': [{'title': [{'value': '&Doctrinale&', 'meta': {'titles': ['Doctrinale']}}], 'titleVariant': [{'value': '&Grammatica versibus ""}, {""reference"": ""59685"", ""type"": ""dict"", ""preview"": ""{'value': 'Éditeur actif dans le champ philologique.', 'meta': {}, 'opus': [{'title': [{'value': '&Opera&', 'meta': {'titles': ['Opera']}}], 'dateAndPlace': [{'value': '%1498%', 'meta': {'dates': [{'t""}, {""reference"": ""822"", ""type"": ""dict"", ""preview"": ""{'value': 'Auteur actif dans le champ grammatical :', 'meta': {}, 'opus': [{'title': [{'value': '&De arte dialectica&', 'meta': {'titles': ['De arte dialectica']}}], 'titleVariant': [{'value': '&Ars d""}]"
textualProduction.justice:not_list,128,"[{""reference"": ""134"", ""type"": ""dict"", ""preview"": ""{'value': 'Auteur actif dans le champ juridique (droit canon) :', 'meta': {}, 'opus': [{'title': [{'value': '&Summa causarum de facto et usu curie&', 'meta': {'titles': ['Summa causarum de facto et us""}, {""reference"": ""301"", ""type"": ""dict"", ""preview"": ""{'value': 'Auteur actif dans le champ juridique :', 'meta': {}, 'opus': [{'title': [{'value': '&Harengua... quando creavit dominum Ricardum de Bisontino Aurelianens. doctorem&', 'meta': {'titles': ['H""}, {""reference"": ""210"", ""type"": ""dict"", ""preview"": ""{'value': 'Auteur dans le domaines juridique :', 'meta': {}, 'opus': [{'title': [{'value': '&(Commentaire du Décret [Opus Remissorium super Decreto])&', 'meta': {'titles': ['(Commentaire du Décret [Op""}, {""reference"": ""15302"", ""type"": ""dict"", ""preview"": ""{'value': 'Auteur actif dans le champ juridique :', 'meta': {}, 'opus': [{'title': [{'value': '&(Opinions citées dans les Gloses sur la Compilatio Prima)&', 'meta': {'titles': ['(Opinions citées dans ""}, {""reference"": ""50875"", ""type"": ""dict"", ""preview"": ""{'value': 'Auteur actif dans le champ juridique.', 'meta': {}, 'opus': [{'title': [{'value': '&Liber contra exemptos&', 'meta': {'titles': ['Liber contra exemptos']}}], 'dateAndPlace': [{'value': '%13""}]"
textualProduction.litterature:not_list,97,"[{""reference"": ""53476"", ""type"": ""dict"", ""preview"": ""{'value': 'Auteur actif dans le champ littéraire:', 'meta': {}, 'opus': [{'title': [{'value': '(Correspondance)', 'meta': {}, 'comment': [\""\\t/Lettres privées,  avec divers interlocuteurs, copiées et i""}, {""reference"": ""117"", ""type"": ""dict"", ""preview"": ""{'value': 'Actif dans le domaine littéraire :', 'meta': {}, 'opus': [{'title': [{'value': '&Jeu de la Feuillée&.', 'meta': {'titles': ['Jeu de la Feuillée']}}], 'dateAndPlace': [{'value': '?%1276%', '""}, {""reference"": ""1100"", ""type"": ""dict"", ""preview"": ""{'value': 'Auteur actif dans le champ littéraire :', 'meta': {}, 'opus': [{'title': [{'value': '&Facetiae&', 'meta': {'titles': ['Facetiae']}}], 'dateAndPlace': [{'value': '?', 'meta': {}}], 'manuscri""}, {""reference"": ""1088"", ""type"": ""dict"", ""preview"": ""{'value': 'Auteur actif dans le champ littéraire:', 'meta': {}, 'opus': [{'title': [{'value': '(Correspondance)', 'meta': {}, 'comment': [\""\\t/Lettres privées,  avec divers interlocuteurs, copiées et i""}, {""reference"": ""59685"", ""type"": ""dict"", ""preview"": ""{'value': 'Auteur actif dans le champ littéraire :', 'meta': {}, 'opus': [{'title': [{'value': '&Adagia. Prosopopoeia Britanniae Majoris&', 'meta': {'titles': ['Adagia. Prosopopoeia Britanniae Majoris""}]"
textualProduction.discussedReligion:not_list,78,"[{""reference"": ""134"", ""type"": ""dict"", ""preview"": ""{'value': 'Les œuvres suivantes, appartenant au champ religieux, lui sont souvent attribuées mais ne sont probablement pas de lui :', 'meta': {}, 'opus': [{'title': [{'value': '&Comm. in Acta apostolo""}, {""reference"": ""15304"", ""type"": ""dict"", ""preview"": ""{'value': \""Ouvrages dont il n'est pas l'auteur :\"", 'meta': {}, 'opus': [{'title': [{'value': \""&Ordinaire de l'Église de Laon&\"", 'meta': {'titles': [\""Ordinaire de l'Église de Laon\""]}}], 'dateAndPlace':""}, {""reference"": ""16804"", ""type"": ""dict"", ""preview"": ""{'value': 'Œuvres dans le champ religieux dont on considère aujourd’hui qu’$Arnau de VILANOVA$ n’est pas l’auteur :', 'meta': {'names': ['Arnau de VILANOVA']}, 'opus': [{'title': [{'value': '&Quaestio""}, {""reference"": ""385"", ""type"": ""dict"", ""preview"": ""{'value': 'Œuvre dans le champ religieux dont l’authenticité n’est pas reconnue :', 'meta': {}, 'opus': [{'title': [{'value': '&De quidditate et esse&', 'meta': {'titles': ['De quidditate et esse']}}]""}, {""reference"": ""487"", ""type"": ""dict"", ""preview"": ""{'value': 'Œuvres rejetées dans le champ religieux :', 'meta': {}, 'opus': [{'title': [{'value': '&Sermones&', 'meta': {'titles': ['Sermones']}}], 'dateAndPlace': [{'value': '?', 'meta': {}}, {'value'""}]"
