reference,name,link,n_value_strings,chars_raw,chars_clean,has_percent_markup,has_dollar_markup,has_amp_markup
15657,ANCELINUS Galli,/individus/15657-ancelinusgalli,11,321,311,1,1,0
948,ARNALDUS Dordraci,/individus/948-arnaldusdordraci,21,566,544,1,1,0
16162,AEGIDIUS Sardonis,/individus/16162-aegidiussardonis,15,409,395,1,1,0
25883,ANTHONIUS Cioni,/individus/25883-anthoniuscioni,14,498,486,1,1,1
17019,ANTHONIUS Godeffridi,/individus/17019-anthoniusgodeffridi,11,498,488,1,1,1
15711,ARNALDUS Criel,/individus/15711-arnalduscriel,13,415,403,1,1,0
16351,ANTHONIUS de Novo Castro,/individus/16351-anthoniusdenovocastro,16,585,571,1,1,1
134,ADENULPHUS de Anania,/individus/134-adenulphusdeanania,204,11251,11075,1,1,1
238,AGATHA la Maresqualle,/individus/238-agathalamaresqualle,12,495,485,1,1,1
976,ARNALDUS Reyneri,/individus/976-arnaldusreyneri,14,478,461,1,1,0
91,ADAM de Kininmund,/individus/91-adamdekininmund,13,275,267,1,1,0
16343,ANTHONIUS Messonis,/individus/16343-anthoniusmessonis,15,439,425,1,1,0
16063,AEGIDIUS Mercier,/individus/16063-aegidiusmercier,13,350,342,1,1,0
56241,AEGIDIUS de Poceyo,/individus/56241-aegidiusdepoceyo,12,304,296,1,1,0
1062,ARNULPHUS Prerexeilet,/individus/1062-arnulphusprerexeilet,20,777,761,1,1,1
17190,AEGIDIUS de Charly,/individus/17190-aegidiusdecharly,12,551,536,1,1,1
133,ADEMARUS de Textoria,/individus/133-ademarusdetextoria,10,270,266,1,1,0
126,ADAM de Cambrai,/individus/126-adamdecambrai,61,3350,3252,1,1,1
208,AEGIDIUS de Atrio,/individus/208-aegidiusdeatrio,22,776,751,1,1,1
9,ABSALON de Sancto Victore 1,/individus/9-absalondesanctovictore1,38,1537,1499,1,1,1
54922,AMADEUS de Mousarii,/individus/54922-amadeusdemousarii,13,317,308,1,1,0
55874,ADAM Cochart de Bruillicuria,/individus/55874-adamcochartdebruillicuria,26,786,752,1,1,0
452,ALEXANDER Kech,/individus/452-alexanderkech,11,280,272,1,1,0
283,ALANUS Levis,/individus/283-alanuslevis,14,388,380,1,1,0
15601,ALARDUS de Thouart,/individus/15601-alardusdethouart,15,460,447,1,1,0
51679,ADAM Pote,/individus/51679-adampote,14,426,412,1,1,1
