key,count,coverage,types
_id,20149,1.0,{'str': 20149}
identity,20149,1.0,{'dict': 20149}
title,20149,1.0,{'str': 20149}
link,20149,1.0,{'str': 20149}
extras,20149,1.0,{'dict': 20149}
raw,20149,1.0,{'list': 20149}
reference,20149,1.0,{'str': 20149}
bibliography,20127,0.9989081343987295,{'dict': 20127}
curriculum,19614,0.9734478137872847,{'dict': 19614}
origin,11193,0.555511439773686,{'dict': 11193}
ecclesiasticalCareer,10924,0.5421609012854236,{'dict': 10924}
professionalCareer,6740,0.3345079160256092,{'dict': 6740}
relationalInsertion,6257,0.31053650305226066,{'dict': 6257}
textualProduction,1562,0.07752245769020795,{'dict': 1562}
assets,1361,0.06754677651496352,{'dict': 1361}
politicalCareer,1108,0.05499032210035237,{'dict': 1108}
travels,720,0.035733783314308404,{'dict': 720}
commissions,223,0.011067546776514963,{'dict': 223}
distinctiveSign,98,0.004863764951114199,{'dict': 98}
otherActivities,61,0.003027445530795573,{'dict': 61}
orality,51,0.0025311429847635117,{'dict': 51}
